oq,q,rvnm,stcd,stnm,tm,wptn,z
17500,0,长江干流,60106980,三峡水库,1753977600000,5,160.56
14800,0,长江干流,60106980,三峡水库,1753981200000,5,160.63
14700,13000,长江干流,60106980,三峡水库,1753984800000,5,160.65
14700,0,长江干流,60106980,三峡水库,1753988400000,5,160.68
14700,0,长江干流,60106980,三峡水库,1753992000000,6,160.68
14700,0,长江干流,60106980,三峡水库,1753995600000,4,160.66
14700,0,长江干流,60106980,三峡水库,1753999200000,5,160.68
14700,0,长江干流,60106980,三峡水库,1754002800000,4,160.67
14700,0,长江干流,60106980,三峡水库,1754010000000,4,160.64
14600,0,长江干流,60106980,三峡水库,1754017200000,4,160.59
13900,0,长江干流,60106980,三峡水库,1754020800000,5,160.61
13900,0,长江干流,60106980,三峡水库,1754024400000,6,160.61
13900,13000,长江干流,60106980,三峡水库,1754028000000,6,160.61
13900,0,长江干流,60106980,三峡水库,1754031600000,5,160.62
14600,0,长江干流,60106980,三峡水库,1754035200000,4,160.6
17300,0,长江干流,60106980,三峡水库,1754038800000,4,160.51
18700,0,长江干流,60106980,三峡水库,1754042400000,4,160.42
18700,0,长江干流,60106980,三峡水库,1754046000000,4,160.36
18700,13000,长江干流,60106980,三峡水库,1754049600000,4,160.32
18800,0,长江干流,60106980,三峡水库,1754053200000,4,160.29
18800,0,长江干流,60106980,三峡水库,1754056800000,4,160.26
18800,0,长江干流,60106980,三峡水库,1754060400000,4,160.22
16100,0,长江干流,60106980,三峡水库,1754064000000,5,160.27
14700,0,长江干流,60106980,三峡水库,1754067600000,5,160.31
14700,13000,长江干流,60106980,三峡水库,1754071200000,5,160.35
