q,rvnm,stcd,stnm,tm,wptn,z
7640,长江干流,60107300,宜昌,1706716800000,4,40.170
7440,长江干流,60107300,宜昌,1706720400000,4,40.080
7330,长江干流,60107300,宜昌,1706724000000,4,40.040
7380,长江干流,60107300,宜昌,1706727600000,4,40.030
7300,长江干流,60107300,宜昌,1706731200000,4,39.990
7320,长江干流,60107300,宜昌,1706734800000,5,40.000
7320,长江干流,60107300,宜昌,1706738400000,4,39.970
7280,长江干流,60107300,宜昌,1706742000000,4,39.950
7390,长江干流,60107300,宜昌,1706745600000,5,40.000
7190,长江干流,60107300,宜昌,1706749200000,4,39.920
7180,长江干流,60107300,宜昌,1706752800000,5,39.930
7060,长江干流,60107300,宜昌,1706756400000,4,39.910
7140,长江干流,60107300,宜昌,1706760000000,5,39.940
7220,长江干流,60107300,宜昌,1706763600000,5,39.980
7170,长江干流,60107300,宜昌,1706767200000,4,39.970
7300,长江干流,60107300,宜昌,1706770800000,5,40.010
7270,长江干流,60107300,宜昌,1706774400000,6,40.010
7340,长江干流,60107300,宜昌,1706778000000,5,40.040
7910,长江干流,60107300,宜昌,1706781600000,5,40.230
7950,长江干流,60107300,宜昌,1706785200000,5,40.240
8120,长江干流,60107300,宜昌,1706788800000,5,40.310
7970,长江干流,60107300,宜昌,1706792400000,4,40.290
7810,长江干流,60107300,宜昌,1706796000000,4,40.260
7760,长江干流,60107300,宜昌,1706799600000,6,40.260
7550,长江干流,60107300,宜昌,1706803200000,4,40.180
7500,长江干流,60107300,宜昌,1706806800000,4,40.150
7460,长江干流,60107300,宜昌,1706810400000,4,40.140
7420,长江干流,60107300,宜昌,1706814000000,4,40.110
7380,长江干流,60107300,宜昌,1706817600000,4,40.100
7410,长江干流,60107300,宜昌,1706821200000,5,40.110
7510,长江干流,60107300,宜昌,1706824800000,5,40.130
7360,长江干流,60107300,宜昌,1706828400000,4,40.080
7400,长江干流,60107300,宜昌,1706832000000,5,40.090
7390,长江干流,60107300,宜昌,1706835600000,6,40.090
7310,长江干流,60107300,宜昌,1706839200000,4,40.060
7410,长江干流,60107300,宜昌,1706842800000,5,40.090
7350,长江干流,60107300,宜昌,1706846400000,4,40.070
7290,长江干流,60107300,宜昌,1706850000000,4,40.030
7470,长江干流,60107300,宜昌,1706853600000,5,40.080
7390,长江干流,60107300,宜昌,1706857200000,4,40.040
7380,长江干流,60107300,宜昌,1706860800000,6,40.040
7430,长江干流,60107300,宜昌,1706864400000,5,40.050
7890,长江干流,60107300,宜昌,1706868000000,5,40.190
7860,长江干流,60107300,宜昌,1706871600000,6,40.190
7770,长江干流,60107300,宜昌,1706875200000,4,40.170
7660,长江干流,60107300,宜昌,1706878800000,4,40.140
7750,长江干流,60107300,宜昌,1706882400000,5,40.170
7470,长江干流,60107300,宜昌,1706886000000,4,40.080
7280,长江干流,60107300,宜昌,1706889600000,4,40.020
7470,长江干流,60107300,宜昌,1706893200000,5,40.070
7330,长江干流,60107300,宜昌,1706896800000,4,40.010
7350,长江干流,60107300,宜昌,1706900400000,5,40.020
7260,长江干流,60107300,宜昌,1706904000000,4,39.990
7320,长江干流,60107300,宜昌,1706907600000,6,39.990
7230,长江干流,60107300,宜昌,1706911200000,4,39.950
7230,长江干流,60107300,宜昌,1706914800000,4,39.930
7210,长江干流,60107300,宜昌,1706918400000,4,39.920
7280,长江干流,60107300,宜昌,1706922000000,5,39.940
7260,长江干流,60107300,宜昌,1706925600000,4,39.920
7090,长江干流,60107300,宜昌,1706929200000,4,39.900
7120,长江干流,60107300,宜昌,1706932800000,5,39.920
7150,长江干流,60107300,宜昌,1706936400000,5,39.930
7230,长江干流,60107300,宜昌,1706940000000,5,39.970
7260,长江干流,60107300,宜昌,1706943600000,6,39.970
7360,长江干流,60107300,宜昌,1706947200000,5,40.030
7390,长江干流,60107300,宜昌,1706950800000,5,40.040
7620,长江干流,60107300,宜昌,1706954400000,5,40.120
7750,长江干流,60107300,宜昌,1706958000000,5,40.180
7750,长江干流,60107300,宜昌,1706961600000,6,40.180
7630,长江干流,60107300,宜昌,1706965200000,4,40.160
7490,长江干流,60107300,宜昌,1706968800000,4,40.130
7370,长江干流,60107300,宜昌,1706972400000,4,40.100
7310,长江干流,60107300,宜昌,1706976000000,4,40.070
7300,长江干流,60107300,宜昌,1706979600000,4,40.060
7320,长江干流,60107300,宜昌,1706983200000,5,40.080
7290,长江干流,60107300,宜昌,1706986800000,4,40.040
7400,长江干流,60107300,宜昌,1706990400000,5,40.060
7420,长江干流,60107300,宜昌,1706994000000,4,40.040
7340,长江干流,60107300,宜昌,1706997600000,4,40.000
7320,长江干流,60107300,宜昌,1707001200000,4,39.990
7300,长江干流,60107300,宜昌,1707004800000,4,39.970
7210,长江干流,60107300,宜昌,1707008400000,4,39.940
7290,长江干流,60107300,宜昌,1707012000000,5,39.950
7110,长江干流,60107300,宜昌,1707015600000,4,39.920
7140,长江干流,60107300,宜昌,1707019200000,5,39.940
7210,长江干流,60107300,宜昌,1707022800000,5,39.960
7210,长江干流,60107300,宜昌,1707026400000,5,39.970
7290,长江干流,60107300,宜昌,1707030000000,5,39.990
7290,长江干流,60107300,宜昌,1707033600000,5,40.010
7440,长江干流,60107300,宜昌,1707037200000,5,40.070
7560,长江干流,60107300,宜昌,1707040800000,5,40.110
7780,长江干流,60107300,宜昌,1707044400000,5,40.180
7840,长江干流,60107300,宜昌,1707048000000,5,40.210
7810,长江干流,60107300,宜昌,1707051600000,5,40.240
7720,长江干流,60107300,宜昌,1707055200000,4,40.200
7650,长江干流,60107300,宜昌,1707058800000,6,40.200
7350,长江干流,60107300,宜昌,1707062400000,4,40.100
7460,长江干流,60107300,宜昌,1707066000000,5,40.120
7300,长江干流,60107300,宜昌,1707069600000,4,40.060
7340,长江干流,60107300,宜昌,1707073200000,5,40.070
7280,长江干流,60107300,宜昌,1707076800000,4,40.040
7320,长江干流,60107300,宜昌,1707080400000,4,40.030
7340,长江干流,60107300,宜昌,1707084000000,4,40.020
7290,长江干流,60107300,宜昌,1707087600000,4,39.990
7340,长江干流,60107300,宜昌,1707091200000,6,39.990
7290,长江干流,60107300,宜昌,1707094800000,4,39.980
7260,长江干流,60107300,宜昌,1707098400000,5,39.990
7210,长江干流,60107300,宜昌,1707102000000,4,39.960
7170,长江干流,60107300,宜昌,1707105600000,5,39.980
7240,长江干流,60107300,宜昌,1707109200000,5,40.000
7220,长江干流,60107300,宜昌,1707112800000,4,39.990
7350,长江干流,60107300,宜昌,1707116400000,5,40.040
7350,长江干流,60107300,宜昌,1707120000000,4,40.030
7470,长江干流,60107300,宜昌,1707123600000,5,40.080
7650,长江干流,60107300,宜昌,1707127200000,5,40.150
7810,长江干流,60107300,宜昌,1707130800000,5,40.200
7970,长江干流,60107300,宜昌,1707134400000,5,40.260
7910,长江干流,60107300,宜昌,1707138000000,6,40.260
7870,长江干流,60107300,宜昌,1707141600000,5,40.270
7460,长江干流,60107300,宜昌,1707145200000,4,40.140
7370,长江干流,60107300,宜昌,1707148800000,4,40.120
7410,长江干流,60107300,宜昌,1707152400000,4,40.110
7430,长江干流,60107300,宜昌,1707156000000,6,40.110
7490,长江干流,60107300,宜昌,1707159600000,5,40.130
7320,长江干流,60107300,宜昌,1707163200000,4,40.060
7320,长江干流,60107300,宜昌,1707166800000,4,40.050
7430,长江干流,60107300,宜昌,1707170400000,5,40.060
7250,长江干流,60107300,宜昌,1707174000000,4,39.990
7280,长江干流,60107300,宜昌,1707177600000,4,39.970
7250,长江干流,60107300,宜昌,1707181200000,5,39.980
7280,长江干流,60107300,宜昌,1707184800000,5,39.990
7120,长江干流,60107300,宜昌,1707188400000,4,39.950
7230,长江干流,60107300,宜昌,1707192000000,5,39.990
7230,长江干流,60107300,宜昌,1707195600000,6,39.990
7320,长江干流,60107300,宜昌,1707199200000,5,40.030
7290,长江干流,60107300,宜昌,1707202800000,4,40.010
7260,长江干流,60107300,宜昌,1707206400000,6,40.010
7390,长江干流,60107300,宜昌,1707210000000,5,40.060
7590,长江干流,60107300,宜昌,1707213600000,5,40.120
7870,长江干流,60107300,宜昌,1707217200000,5,40.210
7890,长江干流,60107300,宜昌,1707220800000,5,40.230
7880,长江干流,60107300,宜昌,1707224400000,5,40.250
7920,长江干流,60107300,宜昌,1707228000000,5,40.280
7770,长江干流,60107300,宜昌,1707231600000,4,40.220
7590,长江干流,60107300,宜昌,1707235200000,4,40.200
7580,长江干流,60107300,宜昌,1707238800000,4,40.180
7350,长江干流,60107300,宜昌,1707242400000,4,40.100
7380,长江干流,60107300,宜昌,1707246000000,5,40.110
7270,长江干流,60107300,宜昌,1707249600000,4,40.060
7470,长江干流,60107300,宜昌,1707253200000,5,40.100
7340,长江干流,60107300,宜昌,1707256800000,4,40.020
