q,rvnm,stcd,stnm,tm,wptn,z
1250,洞庭湖,61512000,城陵矶(七),1667232000000,6,19.320
1260,洞庭湖,61512000,城陵矶(七),1667235600000,5,19.330
1260,洞庭湖,61512000,城陵矶(七),1667239200000,6,19.330
1250,洞庭湖,61512000,城陵矶(七),1667242800000,4,19.320
1250,洞庭湖,61512000,城陵矶(七),1667246400000,6,19.320
1260,洞庭湖,61512000,城陵矶(七),1667250000000,5,19.330
1260,洞庭湖,61512000,城陵矶(七),1667253600000,6,19.330
1260,洞庭湖,61512000,城陵矶(七),1667257200000,6,19.330
1260,洞庭湖,61512000,城陵矶(七),1667264400000,6,19.330
1260,洞庭湖,61512000,城陵矶(七),1667271600000,6,19.330
1250,洞庭湖,61512000,城陵矶(七),1667275200000,4,19.320
1250,洞庭湖,61512000,城陵矶(七),1667278800000,6,19.320
1250,洞庭湖,61512000,城陵矶(七),1667282400000,6,19.320
1250,洞庭湖,61512000,城陵矶(七),1667286000000,6,19.320
1250,洞庭湖,61512000,城陵矶(七),1667289600000,6,19.320
1240,洞庭湖,61512000,城陵矶(七),1667293200000,4,19.310
1240,洞庭湖,61512000,城陵矶(七),1667296800000,6,19.310
1240,洞庭湖,61512000,城陵矶(七),1667300400000,6,19.310
1270,洞庭湖,61512000,城陵矶(七),1667343600000,6,19.340
1270,洞庭湖,61512000,城陵矶(七),1667358000000,6,19.340
1270,洞庭湖,61512000,城陵矶(七),1667361600000,6,19.340
1260,洞庭湖,61512000,城陵矶(七),1667365200000,4,19.330
1260,洞庭湖,61512000,城陵矶(七),1667368800000,6,19.330
1260,洞庭湖,61512000,城陵矶(七),1667372400000,6,19.330
1260,洞庭湖,61512000,城陵矶(七),1667376000000,6,19.330
