oq,q,rvnm,stcd,stnm,tm,wptn,z
0,15500,长江干流,60113400,九江,1746028800000,4,11.099
0,15700,长江干流,60113400,九江,1746032400000,5,11.103
0,15600,长江干流,60113400,九江,1746036000000,4,11.1
0,15700,长江干流,60113400,九江,1746039600000,5,11.104
0,15700,长江干流,60113400,九江,1746043200000,4,11.095
0,15800,长江干流,60113400,九江,1746046800000,5,11.102
0,15800,长江干流,60113400,九江,1746050400000,4,11.093
0,15700,长江干流,60113400,九江,1746054000000,4,11.08
0,15800,长江干流,60113400,九江,1746057600000,5,11.082
0,15800,长江干流,60113400,九江,1746064800000,4,11.073
0,15700,长江干流,60113400,九江,1746068400000,4,11.066
0,15700,长江干流,60113400,九江,1746072000000,5,11.07
0,16000,长江干流,60113400,九江,1746075600000,6,11.07
0,15800,长江干流,60113400,九江,1746079200000,4,11.06
0,16000,长江干流,60113400,九江,1746082800000,6,11.06
0,16000,长江干流,60113400,九江,1746086400000,5,11.061
0,16100,长江干流,60113400,九江,1746090000000,4,11.06
0,16100,长江干流,60113400,九江,1746093600000,6,11.06
0,16200,长江干流,60113400,九江,1746097200000,4,11.056
0,16100,长江干流,60113400,九江,1746100800000,4,11.05
0,16100,长江干流,60113400,九江,1746104400000,6,11.05
0,16200,长江干流,60113400,九江,1746108000000,4,11.049
0,16200,长江干流,60113400,九江,1746111600000,4,11.046
0,16200,长江干流,60113400,九江,1746115200000,4,11.044
0,16100,长江干流,60113400,九江,1746118800000,4,11.04
0,16200,长江干流,60113400,九江,1746122400000,6,11.04
0,16200,长江干流,60113400,九江,1746126000000,4,11.038
0,16300,长江干流,60113400,九江,1746129600000,4,11.035
0,16300,长江干流,60113400,九江,1746133200000,4,11.034
0,16200,长江干流,60113400,九江,1746136800000,4,11.032
0,16000,长江干流,60113400,九江,1746140400000,4,11.02
0,16000,长江干流,60113400,九江,1746144000000,6,11.02
0,16100,长江干流,60113400,九江,1746151200000,4,11.025
0,16000,长江干流,60113400,九江,1746154800000,4,11.02
0,16300,长江干流,60113400,九江,1746158400000,5,11.029
0,16300,长江干流,60113400,九江,1746162000000,4,11.025
0,16300,长江干流,60113400,九江,1746165600000,4,11.02
0,16400,长江干流,60113400,九江,1746169200000,4,11.016
0,16300,长江干流,60113400,九江,1746172800000,4,11.01
0,16300,长江干流,60113400,九江,1746176400000,4,11
0,16500,长江干流,60113400,九江,1746180000000,5,11.005
0,16500,长江干流,60113400,九江,1746183600000,4,11.002
0,16600,长江干流,60113400,九江,1746187200000,4,10.994
0,16400,长江干流,60113400,九江,1746190800000,4,10.98
0,16500,长江干流,60113400,九江,1746194400000,5,10.985
0,16600,长江干流,60113400,九江,1746198000000,5,10.986
0,16500,长江干流,60113400,九江,1746201600000,4,10.98
0,16500,长江干流,60113400,九江,1746205200000,4,10.97
0,16500,长江干流,60113400,九江,1746208800000,6,10.97
0,16400,长江干流,60113400,九江,1746212400000,4,10.965
0,16400,长江干流,60113400,九江,1746216000000,4,10.963
0,16500,长江干流,60113400,九江,1746219600000,4,10.96
0,16500,长江干流,60113400,九江,1746223200000,6,10.96
0,16400,长江干流,60113400,九江,1746226800000,4,10.95
0,16400,长江干流,60113400,九江,1746230400000,4,10.949
0,16200,长江干流,60113400,九江,1746237600000,4,10.946
0,16300,长江干流,60113400,九江,1746241200000,4,10.941
0,16300,长江干流,60113400,九江,1746244800000,5,10.95
0,16400,长江干流,60113400,九江,1746248400000,4,10.948
0,16400,长江干流,60113400,九江,1746252000000,4,10.94
0,16600,长江干流,60113400,九江,1746255600000,5,10.942
0,16400,长江干流,60113400,九江,1746259200000,4,10.932
0,16500,长江干流,60113400,九江,1746262800000,4,10.925
0,16400,长江干流,60113400,九江,1746266400000,4,10.92
0,16600,长江干流,60113400,九江,1746270000000,4,10.916
0,16500,长江干流,60113400,九江,1746273600000,4,10.902
0,16600,长江干流,60113400,九江,1746277200000,4,10.897
0,16400,长江干流,60113400,九江,1746280800000,4,10.88
0,16500,长江干流,60113400,九江,1746284400000,4,10.879
0,16500,长江干流,60113400,九江,1746288000000,4,10.878
0,16600,长江干流,60113400,九江,1746291600000,4,10.874
0,16400,长江干流,60113400,九江,1746295200000,4,10.86
0,16500,长江干流,60113400,九江,1746298800000,6,10.86
0,16600,长江干流,60113400,九江,1746302400000,6,10.86
0,16500,长江干流,60113400,九江,1746306000000,4,10.84
