rvnm,stcd,stnm,tm,wptn,z
汉江,61802500,龙王庙,1669824000000,5,159.640
汉江,61802500,龙王庙,1669827600000,5,159.660
汉江,61802500,龙王庙,1669831200000,4,159.640
汉江,61802500,龙王庙,1669834800000,5,159.650
汉江,61802500,龙王庙,1669838400000,4,159.640
汉江,61802500,龙王庙,1669842000000,4,159.630
汉江,61802500,龙王庙,1669845600000,4,159.620
汉江,61802500,龙王庙,1669849200000,5,159.630
汉江,61802500,龙王庙,1669852800000,6,159.630
汉江,61802500,龙王庙,1669860000000,6,159.630
汉江,61802500,龙王庙,1669863600000,4,159.620
汉江,61802500,龙王庙,1669870800000,6,159.620
汉江,61802500,龙王庙,1669878000000,6,159.610
汉江,61802500,龙王庙,1669881600000,6,159.610
汉江,61802500,龙王庙,1669885200000,6,159.610
汉江,61802500,龙王庙,1669888800000,6,159.610
汉江,61802500,龙王庙,1669892400000,4,159.600
汉江,61802500,龙王庙,1669896000000,4,159.590
汉江,61802500,龙王庙,1669899600000,5,159.600
汉江,61802500,龙王庙,1669903200000,4,159.590
汉江,61802500,龙王庙,1669906800000,6,159.590
汉江,61802500,龙王庙,1669910400000,4,159.580
