oq,q,rvnm,stcd,stnm,tm,wptn,z
1860,2640,汉江,61802700,丹江口水库,1595008800000,5,160.74
1870,0,汉江,61802700,丹江口水库,1595012400000,5,160.75
1870,0,汉江,61802700,丹江口水库,1595016000000,6,160.75
1870,0,汉江,61802700,丹江口水库,1595019600000,6,160.75
1870,0,汉江,61802700,丹江口水库,1595023200000,6,160.75
1860,0,汉江,61802700,丹江口水库,1595026800000,6,160.75
1860,2270,汉江,61802700,丹江口水库,1595030400000,6,160.75
1870,0,汉江,61802700,丹江口水库,1595034000000,6,160.75
1870,0,汉江,61802700,丹江口水库,1595037600000,5,160.76
1870,0,汉江,61802700,丹江口水库,1595041200000,6,160.76
1870,0,汉江,61802700,丹江口水库,1595044800000,6,160.76
1870,0,汉江,61802700,丹江口水库,1595048400000,5,160.78
1860,3030,汉江,61802700,丹江口水库,1595052000000,6,160.78
1880,0,汉江,61802700,丹江口水库,1595055600000,6,160.78
1870,0,汉江,61802700,丹江口水库,1595059200000,6,160.78
1870,0,汉江,61802700,丹江口水库,1595062800000,5,160.79
1880,0,汉江,61802700,丹江口水库,1595066400000,6,160.79
1880,0,汉江,61802700,丹江口水库,1595070000000,6,160.79
1880,2660,汉江,61802700,丹江口水库,1595073600000,5,160.8
1870,0,汉江,61802700,丹江口水库,1595077200000,6,160.8
1870,0,汉江,61802700,丹江口水库,1595080800000,5,160.81
1590,0,汉江,61802700,丹江口水库,1595084400000,5,160.82
1450,0,汉江,61802700,丹江口水库,1595088000000,6,160.82
1460,0,汉江,61802700,丹江口水库,1595091600000,4,160.81
1440,2470,汉江,61802700,丹江口水库,1595095200000,5,160.82
1730,0,汉江,61802700,丹江口水库,1595098800000,5,160.83
1590,0,汉江,61802700,丹江口水库,1595102400000,6,160.83
1590,0,汉江,61802700,丹江口水库,1595106000000,5,160.84
1860,0,汉江,61802700,丹江口水库,1595109600000,5,160.85
1870,0,汉江,61802700,丹江口水库,1595113200000,6,160.85
1880,2870,汉江,61802700,丹江口水库,1595116800000,6,160.85
1870,0,汉江,61802700,丹江口水库,1595120400000,6,160.85
1830,0,汉江,61802700,丹江口水库,1595124000000,5,160.86
1720,0,汉江,61802700,丹江口水库,1595127600000,6,160.86
1640,0,汉江,61802700,丹江口水库,1595131200000,5,160.87
1620,0,汉江,61802700,丹江口水库,1595134800000,6,160.87
1600,2510,汉江,61802700,丹江口水库,1595138400000,6,160.87
1620,0,汉江,61802700,丹江口水库,1595142000000,5,160.88
1640,0,汉江,61802700,丹江口水库,1595145600000,6,160.88
1730,0,汉江,61802700,丹江口水库,1595149200000,6,160.88
1720,0,汉江,61802700,丹江口水库,1595152800000,6,160.88
1730,0,汉江,61802700,丹江口水库,1595156400000,6,160.88
1820,2080,汉江,61802700,丹江口水库,1595160000000,6,160.88
1810,0,汉江,61802700,丹江口水库,1595163600000,6,160.88
1810,0,汉江,61802700,丹江口水库,1595167200000,5,160.89
1780,0,汉江,61802700,丹江口水库,1595170800000,6,160.89
1760,0,汉江,61802700,丹江口水库,1595174400000,6,160.89
1760,0,汉江,61802700,丹江口水库,1595178000000,6,160.89
1760,2560,汉江,61802700,丹江口水库,1595181600000,5,160.9
1720,0,汉江,61802700,丹江口水库,1595185200000,6,160.9
1720,0,汉江,61802700,丹江口水库,1595188800000,6,160.9
1720,0,汉江,61802700,丹江口水库,1595192400000,6,160.9
1720,0,汉江,61802700,丹江口水库,1595196000000,6,160.9
1770,0,汉江,61802700,丹江口水库,1595199600000,5,160.91
1760,2130,汉江,61802700,丹江口水库,1595203200000,6,160.91
1740,0,汉江,61802700,丹江口水库,1595206800000,6,160.91
1730,0,汉江,61802700,丹江口水库,1595210400000,6,160.91
1720,0,汉江,61802700,丹江口水库,1595214000000,6,160.91
1720,0,汉江,61802700,丹江口水库,1595217600000,6,160.91
1700,0,汉江,61802700,丹江口水库,1595221200000,5,160.92
1700,2120,汉江,61802700,丹江口水库,1595224800000,6,160.92
1720,0,汉江,61802700,丹江口水库,1595228400000,6,160.92
1720,0,汉江,61802700,丹江口水库,1595232000000,6,160.92
1730,0,汉江,61802700,丹江口水库,1595235600000,6,160.92
1720,0,汉江,61802700,丹江口水库,1595239200000,4,160.91
1750,0,汉江,61802700,丹江口水库,1595242800000,6,160.91
1720,1730,汉江,61802700,丹江口水库,1595246400000,5,160.92
1740,0,汉江,61802700,丹江口水库,1595250000000,5,160.93
1750,0,汉江,61802700,丹江口水库,1595253600000,5,160.94
1770,0,汉江,61802700,丹江口水库,1595257200000,6,160.94
1410,0,汉江,61802700,丹江口水库,1595260800000,5,160.95
1550,0,汉江,61802700,丹江口水库,1595264400000,6,160.95
1540,2810,汉江,61802700,丹江口水库,1595268000000,6,160.95
1540,0,汉江,61802700,丹江口水库,1595271600000,6,160.95
1410,0,汉江,61802700,丹江口水库,1595275200000,6,160.95
1410,0,汉江,61802700,丹江口水库,1595278800000,6,160.95
1780,0,汉江,61802700,丹江口水库,1595282400000,5,160.96
1770,0,汉江,61802700,丹江口水库,1595286000000,6,160.96
1770,1960,汉江,61802700,丹江口水库,1595289600000,6,160.96
1840,0,汉江,61802700,丹江口水库,1595293200000,5,160.97
1850,0,汉江,61802700,丹江口水库,1595296800000,6,160.97
1850,0,汉江,61802700,丹江口水库,1595300400000,6,160.97
1850,0,汉江,61802700,丹江口水库,1595304000000,6,160.97
1840,0,汉江,61802700,丹江口水库,1595307600000,6,160.97
1840,3000,汉江,61802700,丹江口水库,1595311200000,5,160.99
1840,0,汉江,61802700,丹江口水库,1595314800000,5,161
1840,0,汉江,61802700,丹江口水库,1595318400000,5,161.02
1850,0,汉江,61802700,丹江口水库,1595322000000,6,161.02
1850,0,汉江,61802700,丹江口水库,1595325600000,5,161.03
1840,0,汉江,61802700,丹江口水库,1595329200000,5,161.04
1840,4240,汉江,61802700,丹江口水库,1595332800000,5,161.05
1820,0,汉江,61802700,丹江口水库,1595336400000,5,161.06
1450,0,汉江,61802700,丹江口水库,1595340000000,5,161.08
1580,0,汉江,61802700,丹江口水库,1595343600000,5,161.09
1580,0,汉江,61802700,丹江口水库,1595347200000,5,161.1
1570,0,汉江,61802700,丹江口水库,1595350800000,5,161.11
1570,4330,汉江,61802700,丹江口水库,1595354400000,5,161.12
1440,0,汉江,61802700,丹江口水库,1595358000000,5,161.13
1440,0,汉江,61802700,丹江口水库,1595361600000,5,161.14
1440,0,汉江,61802700,丹江口水库,1595365200000,5,161.16
1710,0,汉江,61802700,丹江口水库,1595368800000,5,161.18
1410,0,汉江,61802700,丹江口水库,1595372400000,5,161.21
1430,5390,汉江,61802700,丹江口水库,1595376000000,5,161.22
1840,0,汉江,61802700,丹江口水库,1595379600000,5,161.23
1850,0,汉江,61802700,丹江口水库,1595383200000,5,161.25
1360,0,汉江,61802700,丹江口水库,1595386800000,5,161.27
1700,0,汉江,61802700,丹江口水库,1595390400000,5,161.29
1760,0,汉江,61802700,丹江口水库,1595394000000,5,161.3
1830,5200,汉江,61802700,丹江口水库,1595397600000,5,161.31
1830,0,汉江,61802700,丹江口水库,1595401200000,5,161.34
1800,0,汉江,61802700,丹江口水库,1595404800000,5,161.35
1790,0,汉江,61802700,丹江口水库,1595408400000,5,161.37
1800,0,汉江,61802700,丹江口水库,1595412000000,5,161.38
1810,0,汉江,61802700,丹江口水库,1595415600000,5,161.41
1800,6090,汉江,61802700,丹江口水库,1595419200000,5,161.42
1810,0,汉江,61802700,丹江口水库,1595422800000,5,161.44
1810,0,汉江,61802700,丹江口水库,1595426400000,5,161.46
1810,0,汉江,61802700,丹江口水库,1595430000000,5,161.48
1800,0,汉江,61802700,丹江口水库,1595433600000,5,161.5
1800,0,汉江,61802700,丹江口水库,1595437200000,5,161.52
1800,6500,汉江,61802700,丹江口水库,1595440800000,5,161.54
1810,0,汉江,61802700,丹江口水库,1595444400000,5,161.56
1810,0,汉江,61802700,丹江口水库,1595448000000,5,161.57
1810,0,汉江,61802700,丹江口水库,1595451600000,5,161.59
1810,0,汉江,61802700,丹江口水库,1595455200000,5,161.6
1810,0,汉江,61802700,丹江口水库,1595458800000,5,161.61
2630,4610,汉江,61802700,丹江口水库,1595462400000,6,161.61
2650,0,汉江,61802700,丹江口水库,1595466000000,5,161.62
2650,0,汉江,61802700,丹江口水库,1595469600000,5,161.63
2650,0,汉江,61802700,丹江口水库,1595473200000,5,161.64
2650,0,汉江,61802700,丹江口水库,1595476800000,6,161.64
2630,0,汉江,61802700,丹江口水库,1595480400000,5,161.65
2630,4610,汉江,61802700,丹江口水库,1595484000000,5,161.66
2650,0,汉江,61802700,丹江口水库,1595487600000,6,161.66
2650,0,汉江,61802700,丹江口水库,1595491200000,5,161.67
2650,0,汉江,61802700,丹江口水库,1595494800000,6,161.67
2650,0,汉江,61802700,丹江口水库,1595498400000,5,161.68
2650,0,汉江,61802700,丹江口水库,1595502000000,6,161.68
2650,3450,汉江,61802700,丹江口水库,1595505600000,6,161.68
2650,0,汉江,61802700,丹江口水库,1595509200000,6,161.68
2650,0,汉江,61802700,丹江口水库,1595512800000,6,161.68
2650,0,汉江,61802700,丹江口水库,1595516400000,5,161.69
2660,0,汉江,61802700,丹江口水库,1595520000000,6,161.69
2640,0,汉江,61802700,丹江口水库,1595523600000,5,161.7
2640,3430,汉江,61802700,丹江口水库,1595527200000,6,161.7
2630,0,汉江,61802700,丹江口水库,1595530800000,6,161.7
2610,0,汉江,61802700,丹江口水库,1595534400000,5,161.71
2610,0,汉江,61802700,丹江口水库,1595538000000,6,161.71
2620,0,汉江,61802700,丹江口水库,1595541600000,6,161.71
2630,0,汉江,61802700,丹江口水库,1595545200000,6,161.71
2640,3030,汉江,61802700,丹江口水库,1595548800000,6,161.71
2640,0,汉江,61802700,丹江口水库,1595552400000,6,161.71
