oq,q,rvnm,stcd,stnm,tm,wptn,z
0,11100,乌江,60803000,武隆,1595012400000,5,190.53
0,11300,乌江,60803000,武隆,1595016000000,5,190.83
0,11400,乌江,60803000,武隆,1595019600000,5,190.94
0,11400,乌江,60803000,武隆,1595023200000,5,190.95
0,11100,乌江,60803000,武隆,1595026800000,4,190.63
0,10500,乌江,60803000,武隆,1595027100000,4,190.54
0,10800,乌江,60803000,武隆,1595030400000,4,190.18
0,10600,乌江,60803000,武隆,1595034000000,4,189.86
0,10900,乌江,60803000,武隆,1595037600000,5,190.22
0,11500,乌江,60803000,武隆,1595041200000,5,191.19
0,11800,乌江,60803000,武隆,1595044800000,5,191.63
0,12000,乌江,60803000,武隆,1595048400000,5,191.83
0,12100,乌江,60803000,武隆,1595052000000,5,191.98
0,12100,乌江,60803000,武隆,1595055600000,5,192.02
0,11600,乌江,60803000,武隆,1595059200000,4,191.71
0,11200,乌江,60803000,武隆,1595062800000,4,191.27
0,10700,乌江,60803000,武隆,1595066400000,4,190.67
0,10100,乌江,60803000,武隆,1595070000000,4,189.86
0,9660,乌江,60803000,武隆,1595073600000,4,189.24
0,9170,乌江,60803000,武隆,1595077200000,4,188.71
0,8930,乌江,60803000,武隆,1595080800000,4,188.35
0,8740,乌江,60803000,武隆,1595084400000,4,188.06
0,8650,乌江,60803000,武隆,1595088000000,4,187.91
0,8680,乌江,60803000,武隆,1595091600000,5,187.96
0,8730,乌江,60803000,武隆,1595095200000,5,188.04
0,8810,乌江,60803000,武隆,1595098800000,5,188.17
0,8790,乌江,60803000,武隆,1595102400000,4,188.13
0,8910,乌江,60803000,武隆,1595106000000,5,188.32
0,8890,乌江,60803000,武隆,1595109600000,4,188.29
0,8740,乌江,60803000,武隆,1595113200000,4,188.06
0,8410,乌江,60803000,武隆,1595116800000,4,187.52
0,8360,乌江,60803000,武隆,1595120400000,4,187.45
0,8480,乌江,60803000,武隆,1595124000000,5,187.64
0,8380,乌江,60803000,武隆,1595127600000,4,187.47
0,7780,乌江,60803000,武隆,1595131200000,4,186.49
0,7130,乌江,60803000,武隆,1595134800000,4,185.42
0,6320,乌江,60803000,武隆,1595138400000,4,184.87
0,6090,乌江,60803000,武隆,1595142000000,4,184.43
0,5820,乌江,60803000,武隆,1595145600000,4,183.9
0,5570,乌江,60803000,武隆,1595149200000,4,183.45
0,5280,乌江,60803000,武隆,1595152800000,4,182.91
0,5010,乌江,60803000,武隆,1595156400000,4,182.37
0,4820,乌江,60803000,武隆,1595160000000,4,182
0,4660,乌江,60803000,武隆,1595163600000,4,181.64
0,4540,乌江,60803000,武隆,1595167200000,4,181.37
0,4440,乌江,60803000,武隆,1595170800000,4,181.15
0,4440,乌江,60803000,武隆,1595174400000,6,181.15
0,4430,乌江,60803000,武隆,1595178000000,4,181.13
0,4410,乌江,60803000,武隆,1595181600000,4,181.09
0,4740,乌江,60803000,武隆,1595185200000,5,181.83
0,4910,乌江,60803000,武隆,1595188800000,5,182.17
0,4900,乌江,60803000,武隆,1595192400000,4,182.16
0,4940,乌江,60803000,武隆,1595196000000,5,182.24
0,5070,乌江,60803000,武隆,1595199600000,5,182.49
0,5180,乌江,60803000,武隆,1595203200000,5,182.71
0,5200,乌江,60803000,武隆,1595206800000,5,182.74
