rvnm,stcd,stnm,tm,wptn,z
长江干流,60111200,莲花塘,1709218800000,5,22.440
长江干流,60111200,莲花塘,1709222400000,5,22.450
长江干流,60111200,莲花塘,1709226000000,6,22.450
长江干流,60111200,莲花塘,1709229600000,5,22.470
长江干流,60111200,莲花塘,1709233200000,6,22.470
长江干流,60111200,莲花塘,1709236800000,5,22.480
长江干流,60111200,莲花塘,1709240400000,5,22.490
长江干流,60111200,莲花塘,1709244000000,6,22.490
长江干流,60111200,莲花塘,1709247600000,5,22.510
长江干流,60111200,莲花塘,1709251200000,6,22.510
长江干流,60111200,莲花塘,1709254800000,5,22.520
长江干流,60111200,莲花塘,1709258400000,5,22.530
长江干流,60111200,莲花塘,1709262000000,6,22.530
长江干流,60111200,莲花塘,1709265600000,5,22.540
长江干流,60111200,莲花塘,1709269200000,6,22.540
长江干流,60111200,莲花塘,1709272800000,5,22.550
长江干流,60111200,莲花塘,1709276400000,5,22.560
长江干流,60111200,莲花塘,1709280000000,5,22.570
长江干流,60111200,莲花塘,1709283600000,6,22.570
长江干流,60111200,莲花塘,1709287200000,5,22.590
长江干流,60111200,莲花塘,1709290800000,5,22.600
长江干流,60111200,莲花塘,1709294400000,5,22.610
长江干流,60111200,莲花塘,1709298000000,5,22.620
长江干流,60111200,莲花塘,1709301600000,5,22.640
长江干流,60111200,莲花塘,1709305200000,5,22.650
长江干流,60111200,莲花塘,1709308800000,5,22.670
长江干流,60111200,莲花塘,1709312400000,6,22.670
长江干流,60111200,莲花塘,1709316000000,5,22.690
长江干流,60111200,莲花塘,1709319600000,5,22.700
长江干流,60111200,莲花塘,1709323200000,5,22.710
长江干流,60111200,莲花塘,1709326800000,5,22.720
长江干流,60111200,莲花塘,1709330400000,5,22.730
长江干流,60111200,莲花塘,1709334000000,6,22.730
长江干流,60111200,莲花塘,1709337600000,5,22.750
长江干流,60111200,莲花塘,1709341200000,6,22.750
长江干流,60111200,莲花塘,1709344800000,5,22.760
长江干流,60111200,莲花塘,1709348400000,6,22.760
长江干流,60111200,莲花塘,1709352000000,5,22.770
长江干流,60111200,莲花塘,1709355600000,5,22.780
长江干流,60111200,莲花塘,1709359200000,5,22.790
长江干流,60111200,莲花塘,1709362800000,5,22.800
长江干流,60111200,莲花塘,1709366400000,5,22.810
长江干流,60111200,莲花塘,1709370000000,5,22.820
长江干流,60111200,莲花塘,1709373600000,6,22.820
长江干流,60111200,莲花塘,1709377200000,6,22.820
长江干流,60111200,莲花塘,1709380800000,5,22.830
长江干流,60111200,莲花塘,1709384400000,6,22.830
长江干流,60111200,莲花塘,1709388000000,6,22.830
长江干流,60111200,莲花塘,1709391600000,6,22.830
长江干流,60111200,莲花塘,1709395200000,6,22.830
长江干流,60111200,莲花塘,1709398800000,6,22.830
长江干流,60111200,莲花塘,1709402400000,5,22.840
长江干流,60111200,莲花塘,1709406000000,6,22.840
长江干流,60111200,莲花塘,1709409600000,4,22.830
长江干流,60111200,莲花塘,1709413200000,6,22.830
长江干流,60111200,莲花塘,1709416800000,6,22.830
长江干流,60111200,莲花塘,1709420400000,6,22.830
长江干流,60111200,莲花塘,1709424000000,5,22.840
长江干流,60111200,莲花塘,1709427600000,6,22.840
长江干流,60111200,莲花塘,1709431200000,4,22.830
长江干流,60111200,莲花塘,1709434800000,4,22.820
长江干流,60111200,莲花塘,1709438400000,5,22.830
长江干流,60111200,莲花塘,1709442000000,6,22.830
长江干流,60111200,莲花塘,1709445600000,6,22.830
长江干流,60111200,莲花塘,1709449200000,5,22.840
长江干流,60111200,莲花塘,1709452800000,4,22.830
长江干流,60111200,莲花塘,1709456400000,5,22.840
长江干流,60111200,莲花塘,1709460000000,6,22.840
