rvnm,stcd,stnm,tm,wptn,z
长江干流,60111200,莲花塘,1785517200000,4,26.840
长江干流,60111200,莲花塘,1785520800000,4,26.820
长江干流,60111200,莲花塘,1785528000000,6,26.820
长江干流,60111200,莲花塘,1785531600000,6,26.820
长江干流,60111200,莲花塘,1785535200000,6,26.820
长江干流,60111200,莲花塘,1785538800000,6,26.820
长江干流,60111200,莲花塘,1785546000000,6,26.800
长江干流,60111200,莲花塘,1785556800000,4,26.800
长江干流,60111200,莲花塘,1785567600000,4,26.800
长江干流,60111200,莲花塘,1785574800000,6,26.800
长江干流,60111200,莲花塘,1785578400000,6,26.800
长江干流,60111200,莲花塘,1785585600000,5,26.780
长江干流,60111200,莲花塘,1785589200000,6,26.780
长江干流,60111200,莲花塘,1785596400000,4,26.750
长江干流,60111200,莲花塘,1785600000000,6,26.750
长江干流,60111200,莲花塘,1785603600000,5,26.770
长江干流,60111200,莲花塘,1785607200000,6,26.770
长江干流,60111200,莲花塘,1785610800000,4,26.760
长江干流,60111200,莲花塘,1785618000000,5,26.760
长江干流,60111200,莲花塘,1785621600000,4,26.730
长江干流,60111200,莲花塘,1785625200000,6,26.730
长江干流,60111200,莲花塘,1785628800000,5,26.740
长江干流,60111200,莲花塘,1785643200000,5,26.770
长江干流,60111200,莲花塘,1785654000000,6,26.760
长江干流,60111200,莲花塘,1785661200000,5,26.780
长江干流,60111200,莲花塘,1785664800000,4,26.750
长江干流,60111200,莲花塘,1785672000000,4,26.750
长江干流,60111200,莲花塘,1785675600000,4,26.740
长江干流,60111200,莲花塘,1785682800000,4,26.760
长江干流,60111200,莲花塘,1785686400000,4,26.730
长江干流,60111200,莲花塘,1785690000000,4,26.720
长江干流,60111200,莲花塘,1785693600000,6,26.720
长江干流,60111200,莲花塘,1785697200000,6,26.720
长江干流,60111200,莲花塘,1785704400000,4,26.720
长江干流,60111200,莲花塘,1785708000000,4,26.710
长江干流,60111200,莲花塘,1785711600000,5,26.720
长江干流,60111200,莲花塘,1785715200000,5,26.740
长江干流,60111200,莲花塘,1785729600000,5,26.760
长江干流,60111200,莲花塘,1785744000000,5,26.740
长江干流,60111200,莲花塘,1785754800000,4,26.700
长江干流,60111200,莲花塘,1785769200000,4,26.710
长江干流,60111200,莲花塘,1785776400000,5,26.740
长江干流,60111200,莲花塘,1785780000000,4,26.710
长江干流,60111200,莲花塘,1785787200000,5,26.740
长江干流,60111200,莲花塘,1785790800000,4,26.710
长江干流,60111200,莲花塘,1785794400000,4,26.700
长江干流,60111200,莲花塘,1785801600000,5,26.730
长江干流,60111200,莲花塘,1785812400000,4,26.710
长江干流,60111200,莲花塘,1785823200000,5,26.770
长江干流,60111200,莲花塘,1785834000000,4,26.710
长江干流,60111200,莲花塘,1785841200000,5,26.740
长江干流,60111200,莲花塘,1785848400000,4,26.720
长江干流,60111200,莲花塘,1785855600000,4,26.730
长江干流,60111200,莲花塘,1785862800000,5,26.750
长江干流,60111200,莲花塘,1785870000000,4,26.730
长江干流,60111200,莲花塘,1785877200000,4,26.730
长江干流,60111200,莲花塘,1785880800000,6,26.730
长江干流,60111200,莲花塘,1785884400000,5,26.760
长江干流,60111200,莲花塘,1785891600000,4,26.750
长江干流,60111200,莲花塘,1785902400000,5,26.810
长江干流,60111200,莲花塘,1785913200000,5,26.800
长江干流,60111200,莲花塘,1785924000000,4,26.790
长江干流,60111200,莲花塘,1785931200000,4,26.810
长江干流,60111200,莲花塘,1785938400000,6,26.810
长江干流,60111200,莲花塘,1785945600000,5,26.850
长江干流,60111200,莲花塘,1785952800000,4,26.820
长江干流,60111200,莲花塘,1785956400000,5,26.860
长江干流,60111200,莲花塘,1785963600000,4,26.820
长江干流,60111200,莲花塘,1785967200000,5,26.870
长江干流,60111200,莲花塘,1785970800000,4,26.860
长江干流,60111200,莲花塘,1785978000000,5,26.870
长江干流,60111200,莲花塘,1785988800000,5,26.910
长江干流,60111200,莲花塘,1785999600000,5,26.910
长江干流,60111200,莲花塘,1786010400000,6,26.920
长江干流,60111200,莲花塘,1786017600000,5,26.950
长江干流,60111200,莲花塘,1786024800000,4,26.910
长江干流,60111200,莲花塘,1786060800000,4,26.980
长江干流,60111200,莲花塘,1786071600000,5,27.010
长江干流,60111200,莲花塘,1786078800000,5,27.020
长江干流,60111200,莲花塘,1786082400000,4,27.010
长江干流,60111200,莲花塘,1786089600000,4,27.000
长江干流,60111200,莲花塘,1786093200000,5,27.040
长江干流,60111200,莲花塘,1786096800000,4,27.020
长江干流,60111200,莲花塘,1786100400000,5,27.030
长江干流,60111200,莲花塘,1786107600000,6,27.050
