oq,rvnm,stcd,stnm,tm,wptn,z
14000,长江干流,60106980,三峡水库,1785513600000,5,150.660
16600,长江干流,60106980,三峡水库,1785520800000,5,150.690
16700,长江干流,60106980,三峡水库,1785524400000,4,150.650
16700,长江干流,60106980,三峡水库,1785531600000,5,150.680
16700,长江干流,60106980,三峡水库,1785535200000,4,150.640
16700,长江干流,60106980,三峡水库,1785538800000,5,150.650
16700,长江干流,60106980,三峡水库,1785546000000,6,150.610
16700,长江干流,60106980,三峡水库,1785556800000,4,150.590
18900,长江干流,60106980,三峡水库,1785567600000,4,150.490
25000,长江干流,60106980,三峡水库,1785574800000,4,150.160
25200,长江干流,60106980,三峡水库,1785578400000,4,150.030
25300,长江干流,60106980,三峡水库,1785582000000,4,149.920
25500,长江干流,60106980,三峡水库,1785589200000,4,149.760
20500,长江干流,60106980,三峡水库,1785596400000,5,149.830
18600,长江干流,60106980,三峡水库,1785600000000,5,149.930
16800,长江干流,60106980,三峡水库,1785603600000,5,150.060
16800,长江干流,60106980,三峡水库,1785607200000,5,150.120
16800,长江干流,60106980,三峡水库,1785610800000,5,150.180
16800,长江干流,60106980,三峡水库,1785614400000,5,150.210
16800,长江干流,60106980,三峡水库,1785618000000,5,150.230
16800,长江干流,60106980,三峡水库,1785621600000,5,150.260
16700,长江干流,60106980,三峡水库,1785628800000,5,150.270
16700,长江干流,60106980,三峡水库,1785643200000,5,150.360
18900,长江干流,60106980,三峡水库,1785654000000,4,150.370
24900,长江干流,60106980,三峡水库,1785661200000,4,150.090
25100,长江干流,60106980,三峡水库,1785664800000,4,150.000
25100,长江干流,60106980,三峡水库,1785668400000,4,149.930
25300,长江干流,60106980,三峡水库,1785675600000,4,149.850
20300,长江干流,60106980,三峡水库,1785682800000,5,149.960
18500,长江干流,60106980,三峡水库,1785686400000,5,150.120
16800,长江干流,60106980,三峡水库,1785690000000,5,150.310
16700,长江干流,60106980,三峡水库,1785693600000,5,150.400
16700,长江干流,60106980,三峡水库,1785697200000,5,150.500
16700,长江干流,60106980,三峡水库,1785700800000,5,150.570
16700,长江干流,60106980,三峡水库,1785704400000,5,150.630
16700,长江干流,60106980,三峡水库,1785711600000,5,150.760
16700,长江干流,60106980,三峡水库,1785715200000,5,150.830
16400,长江干流,60106980,三峡水库,1785729600000,5,151.080
21700,长江干流,60106980,三峡水库,1785744000000,4,151.170
27400,长江干流,60106980,三峡水库,1785754800000,4,150.830
23300,长江干流,60106980,三峡水库,1785765600000,5,150.880
17100,长江干流,60106980,三峡水库,1785776400000,5,151.460
17100,长江干流,60106980,三峡水库,1785780000000,5,151.620
17000,长江干流,60106980,三峡水库,1785787200000,5,151.900
17000,长江干流,60106980,三峡水库,1785790800000,5,152.020
16900,长江干流,60106980,三峡水库,1785794400000,5,152.120
16900,长江干流,60106980,三峡水库,1785798000000,5,152.230
16800,长江干流,60106980,三峡水库,1785812400000,5,152.730
16800,长江干流,60106980,三峡水库,1785819600000,5,152.990
24600,长江干流,60106980,三峡水库,1785834000000,4,153.150
26300,长江干流,60106980,三峡水库,1785841200000,4,153.070
26000,长江干流,60106980,三峡水库,1785848400000,5,153.100
19000,长江干流,60106980,三峡水库,1785855600000,5,153.480
16400,长江干流,60106980,三峡水库,1785862800000,5,153.920
16400,长江干流,60106980,三峡水库,1785870000000,5,154.220
16400,长江干流,60106980,三峡水库,1785877200000,5,154.480
16400,长江干流,60106980,三峡水库,1785880800000,5,154.600
16300,长江干流,60106980,三峡水库,1785884400000,5,154.710
16400,长江干流,60106980,三峡水库,1785888000000,5,154.790
16200,长江干流,60106980,三峡水库,1785902400000,5,155.210
18300,长江干流,60106980,三峡水库,1785913200000,5,155.400
24600,长江干流,60106980,三峡水库,1785920400000,4,155.270
26500,长江干流,60106980,三峡水库,1785931200000,4,155.110
21600,长江干流,60106980,三峡水库,1785938400000,5,155.270
16900,长江干流,60106980,三峡水库,1785945600000,5,155.620
16100,长江干流,60106980,三峡水库,1785949200000,5,155.790
16000,长江干流,60106980,三峡水库,1785956400000,5,156.040
16000,长江干流,60106980,三峡水库,1785963600000,5,156.210
16000,长江干流,60106980,三峡水库,1785967200000,5,156.290
16000,长江干流,60106980,三峡水库,1785970800000,5,156.340
16000,长江干流,60106980,三峡水库,1785974400000,5,156.390
15900,长江干流,60106980,三峡水库,1785988800000,5,156.570
18000,长江干流,60106980,三峡水库,1785999600000,4,156.650
24300,长江干流,60106980,三峡水库,1786006800000,4,156.440
26200,长江干流,60106980,三峡水库,1786017600000,4,156.170
21300,长江干流,60106980,三峡水库,1786024800000,5,156.230
13700,长江干流,60106980,三峡水库,1786060800000,5,157.140
13600,长江干流,60106980,三峡水库,1786071600000,5,157.200
13600,长江干流,60106980,三峡水库,1786078800000,5,157.260
13600,长江干流,60106980,三峡水库,1786082400000,5,157.290
16400,长江干流,60106980,三峡水库,1786086000000,4,157.230
19400,长江干流,60106980,三峡水库,1786089600000,4,157.170
22500,长江干流,60106980,三峡水库,1786093200000,4,157.040
23900,长江干流,60106980,三峡水库,1786096800000,4,156.930
23900,长江干流,60106980,三峡水库,1786100400000,4,156.880
23500,长江干流,60106980,三峡水库,1786107600000,4,156.760
20400,长江干流,60106980,三峡水库,1786111200000,5,156.830
17400,长江干流,60106980,三峡水库,1786114800000,5,156.930
