q,rvnm,stcd,stnm,tm,wptn,z
1970,乌江,60803000,武隆,1785517200000,5,174.100
1970,乌江,60803000,武隆,1785520800000,4,174.080
1930,乌江,60803000,武隆,1785528000000,4,173.980
1910,乌江,60803000,武隆,1785531600000,4,173.910
1880,乌江,60803000,武隆,1785535200000,4,173.830
1870,乌江,60803000,武隆,1785538800000,4,173.780
1800,乌江,60803000,武隆,1785546000000,4,173.590
1660,乌江,60803000,武隆,1785556800000,4,173.150
1220,乌江,60803000,武隆,1785567600000,4,171.780
1350,乌江,60803000,武隆,1785574800000,5,172.180
1360,乌江,60803000,武隆,1785578400000,5,172.210
1250,乌江,60803000,武隆,1785585600000,4,171.870
1200,乌江,60803000,武隆,1785589200000,4,171.720
1240,乌江,60803000,武隆,1785596400000,5,171.830
1310,乌江,60803000,武隆,1785600000000,5,172.040
1350,乌江,60803000,武隆,1785603600000,5,172.170
1390,乌江,60803000,武隆,1785607200000,5,172.300
1450,乌江,60803000,武隆,1785610800000,5,172.510
1490,乌江,60803000,武隆,1785618000000,4,172.620
1540,乌江,60803000,武隆,1785621600000,5,172.770
1500,乌江,60803000,武隆,1785625200000,4,172.670
1660,乌江,60803000,武隆,1785628800000,5,173.160
998,乌江,60803000,武隆,1785643200000,4,171.060
475,乌江,60803000,武隆,1785654000000,4,169.320
642,乌江,60803000,武隆,1785661200000,5,169.910
854,乌江,60803000,武隆,1785664800000,5,170.600
1160,乌江,60803000,武隆,1785672000000,5,171.570
1210,乌江,60803000,武隆,1785675600000,5,171.730
1250,乌江,60803000,武隆,1785682800000,4,171.870
1070,乌江,60803000,武隆,1785686400000,4,171.290
851,乌江,60803000,武隆,1785690000000,4,170.590
829,乌江,60803000,武隆,1785693600000,4,170.520
1220,乌江,60803000,武隆,1785697200000,5,171.770
2070,乌江,60803000,武隆,1785704400000,5,174.380
2280,乌江,60803000,武隆,1785708000000,5,175.000
