q,rvnm,stcd,stnm,tm,wptn,z
44900,长江干流,60113400,九江,1780243200000,4,17.599
44800,长江干流,60113400,九江,1780246800000,5,17.611
45000,长江干流,60113400,九江,1780250400000,4,17.596
44700,长江干流,60113400,九江,1780254000000,4,17.595
45300,长江干流,60113400,九江,1780257600000,4,17.583
44800,长江干流,60113400,九江,1780261200000,5,17.595
44600,长江干流,60113400,九江,1780268400000,6,17.583
44200,长江干流,60113400,九江,1780272000000,5,17.602
44200,长江干流,60113400,九江,1780290000000,4,17.615
43600,长江干流,60113400,九江,1780308000000,4,17.609
43700,长江干流,60113400,九江,1780329600000,4,17.591
44000,长江干流,60113400,九江,1780344000000,4,17.576
43900,长江干流,60113400,九江,1780351200000,5,17.596
43600,长江干流,60113400,九江,1780354800000,4,17.574
43200,长江干流,60113400,九江,1780369200000,5,17.592
43200,长江干流,60113400,九江,1780387200000,6,17.578
43400,长江干流,60113400,九江,1780401600000,4,17.564
43500,长江干流,60113400,九江,1780416000000,4,17.561
43300,长江干流,60113400,九江,1780426800000,4,17.551
43200,长江干流,60113400,九江,1780437600000,5,17.535
43100,长江干流,60113400,九江,1780441200000,6,17.535
42800,长江干流,60113400,九江,1780459200000,5,17.525
42800,长江干流,60113400,九江,1780477200000,5,17.517
42600,长江干流,60113400,九江,1780495200000,4,17.500
42300,长江干流,60113400,九江,1780509600000,4,17.521
42500,长江干流,60113400,九江,1780520400000,4,17.516
42800,长江干流,60113400,九江,1780527600000,5,17.527
42800,长江干流,60113400,九江,1780534800000,4,17.507
42100,长江干流,60113400,九江,1780552800000,4,17.506
41600,长江干流,60113400,九江,1780567200000,5,17.518
41800,长江干流,60113400,九江,1780578000000,4,17.515
41500,长江干流,60113400,九江,1780588800000,5,17.536
42200,长江干流,60113400,九江,1780596000000,6,17.528
42000,长江干流,60113400,九江,1780603200000,4,17.504
41900,长江干流,60113400,九江,1780606800000,5,17.510
41500,长江干流,60113400,九江,1780614000000,4,17.497
41500,长江干流,60113400,九江,1780621200000,5,17.490
40000,长江干流,60113400,九江,1780635600000,5,17.498
39600,长江干流,60113400,九江,1780650000000,5,17.513
40200,长江干流,60113400,九江,1780660800000,5,17.488
40200,长江干流,60113400,九江,1780671600000,4,17.487
40100,长江干流,60113400,九江,1780678800000,5,17.499
40100,长江干流,60113400,九江,1780686000000,4,17.508
40300,长江干流,60113400,九江,1780689600000,5,17.516
40000,长江干流,60113400,九江,1780693200000,4,17.510
40100,长江干流,60113400,九江,1780700400000,4,17.514
39900,长江干流,60113400,九江,1780707600000,6,17.508
39800,长江干流,60113400,九江,1780722000000,5,17.523
40200,长江干流,60113400,九江,1780729200000,4,17.527
40200,长江干流,60113400,九江,1780740000000,4,17.519
40200,长江干流,60113400,九江,1780743600000,5,17.525
40500,长江干流,60113400,九江,1780747200000,4,17.517
40300,长江干流,60113400,九江,1780754400000,5,17.518
40100,长江干流,60113400,九江,1780758000000,4,17.503
40300,长江干流,60113400,九江,1780761600000,5,17.515
40100,长江干流,60113400,九江,1780765200000,4,17.497
40200,长江干流,60113400,九江,1780768800000,5,17.502
40200,长江干流,60113400,九江,1780776000000,5,17.497
40200,长江干流,60113400,九江,1780779600000,5,17.499
40300,长江干流,60113400,九江,1780783200000,4,17.483
40300,长江干流,60113400,九江,1780786800000,4,17.475
39900,长江干流,60113400,九江,1780794000000,4,17.471
39700,长江干流,60113400,九江,1780812000000,5,17.474
40100,长江干流,60113400,九江,1780822800000,5,17.448
40200,长江干流,60113400,九江,1780830000000,6,17.439
40300,长江干流,60113400,九江,1780833600000,4,17.419
40200,长江干流,60113400,九江,1780840800000,4,17.396
40000,长江干流,60113400,九江,1780844400000,4,17.382
39800,长江干流,60113400,九江,1780851600000,4,17.359
40000,长江干流,60113400,九江,1780855200000,4,17.350
39800,长江干流,60113400,九江,1780858800000,4,17.341
39700,长江干流,60113400,九江,1780866000000,4,17.336
40100,长江干流,60113400,九江,1780869600000,4,17.315
39900,长江干流,60113400,九江,1780873200000,4,17.300
40000,长江干流,60113400,九江,1780880400000,5,17.298
38800,长江干流,60113400,九江,1780898400000,6,17.295
38600,长江干流,60113400,九江,1780916400000,6,17.289
38400,长江干流,60113400,九江,1780927200000,5,17.307
38400,长江干流,60113400,九江,1780938000000,5,17.309
38700,长江干流,60113400,九江,1780945200000,4,17.303
38500,长江干流,60113400,九江,1780952400000,4,17.297
38500,长江干流,60113400,九江,1780956000000,5,17.301
38300,长江干流,60113400,九江,1780977600000,5,17.336
38400,长江干流,60113400,九江,1780992000000,5,17.353
长江干流,60113400,九江,1781002800000,5,17.360
38400,长江干流,60113400,九江,1781010000000,5,17.358
38600,长江干流,60113400,九江,1781020800000,5,17.361
38900,长江干流,60113400,九江,1781028000000,4,17.349
38700,长江干流,60113400,九江,1781035200000,5,17.349
38700,长江干流,60113400,九江,1781038800000,4,17.348
38700,长江干流,60113400,九江,1781046000000,4,17.341
38700,长江干流,60113400,九江,1781053200000,4,17.338
38500,长江干流,60113400,九江,1781067600000,5,17.343
38400,长江干流,60113400,九江,1781085600000,5,17.348
38700,长江干流,60113400,九江,1781096400000,4,17.334
39100,长江干流,60113400,九江,1781107200000,4,17.326
38700,长江干流,60113400,九江,1781118000000,5,17.314
38900,长江干流,60113400,九江,1781125200000,4,17.305
38700,长江干流,60113400,九江,1781132400000,5,17.306
37100,长江干流,60113400,九江,1781139600000,6,17.290
36800,长江干流,60113400,九江,1781157600000,4,17.293
36700,长江干流,60113400,九江,1781172000000,5,17.282
36900,长江干流,60113400,九江,1781186400000,4,17.260
36700,长江干流,60113400,九江,1781197200000,4,17.232
36400,长江干流,60113400,九江,1781208000000,4,17.221
36400,长江干流,60113400,九江,1781215200000,6,17.206
36400,长江干流,60113400,九江,1781218800000,4,17.205
36300,长江干流,60113400,九江,1781229600000,4,17.201
36100,长江干流,60113400,九江,1781247600000,4,17.181
36200,长江干流,60113400,九江,1781258400000,4,17.146
36000,长江干流,60113400,九江,1781272800000,4,17.133
35500,长江干流,60113400,九江,1781283600000,5,17.133
35600,长江干流,60113400,九江,1781290800000,5,17.114
