q,rvnm,stcd,stnm,tm,wptn,z
15200,长江,60112200,汉口,1682870400000,5,16.500
15200,长江,60112200,汉口,1682874000000,6,16.500
15200,长江,60112200,汉口,1682877600000,5,16.510
15200,长江,60112200,汉口,1682881200000,6,16.510
15200,长江,60112200,汉口,1682884800000,6,16.510
15200,长江,60112200,汉口,1682888400000,5,16.520
15200,长江,60112200,汉口,1682892000000,6,16.520
15200,长江,60112200,汉口,1682895600000,6,16.520
15200,长江,60112200,汉口,1682899200000,6,16.520
15300,长江,60112200,汉口,1682902800000,5,16.530
15300,长江,60112200,汉口,1682906400000,6,16.530
15300,长江,60112200,汉口,1682910000000,6,16.530
15300,长江,60112200,汉口,1682913600000,6,16.530
15300,长江,60112200,汉口,1682917200000,5,16.540
15300,长江,60112200,汉口,1682920800000,5,16.550
15300,长江,60112200,汉口,1682924400000,5,16.560
15300,长江,60112200,汉口,1682928000000,6,16.560
15300,长江,60112200,汉口,1682931600000,6,16.560
15300,长江,60112200,汉口,1682935200000,5,16.570
15300,长江,60112200,汉口,1682938800000,4,16.560
15300,长江,60112200,汉口,1682942400000,5,16.570
15400,长江,60112200,汉口,1682946000000,5,16.580
15300,长江,60112200,汉口,1682949600000,4,16.570
15400,长江,60112200,汉口,1682953200000,5,16.580
15400,长江,60112200,汉口,1682956800000,6,16.580
15400,长江,60112200,汉口,1682960400000,6,16.580
15400,长江,60112200,汉口,1682964000000,5,16.590
15400,长江,60112200,汉口,1682967600000,6,16.590
15400,长江,60112200,汉口,1682971200000,6,16.590
15400,长江,60112200,汉口,1682974800000,6,16.590
15400,长江,60112200,汉口,1682978400000,5,16.600
15400,长江,60112200,汉口,1682982000000,6,16.600
15400,长江,60112200,汉口,1682985600000,6,16.600
15400,长江,60112200,汉口,1682989200000,5,16.610
15400,长江,60112200,汉口,1682992800000,6,16.610
15400,长江,60112200,汉口,1682996400000,6,16.610
15500,长江,60112200,汉口,1683000000000,5,16.620
15500,长江,60112200,汉口,1683003600000,6,16.620
15500,长江,60112200,汉口,1683007200000,5,16.630
15500,长江,60112200,汉口,1683010800000,6,16.630
15500,长江,60112200,汉口,1683014400000,6,16.630
15500,长江,60112200,汉口,1683018000000,6,16.630
15500,长江,60112200,汉口,1683021600000,6,16.630
15500,长江,60112200,汉口,1683025200000,5,16.640
15500,长江,60112200,汉口,1683028800000,5,16.650
15500,长江,60112200,汉口,1683032400000,6,16.650
15500,长江,60112200,汉口,1683036000000,6,16.650
15600,长江,60112200,汉口,1683039600000,5,16.660
15600,长江,60112200,汉口,1683043200000,6,16.660
15600,长江,60112200,汉口,1683046800000,5,16.670
15600,长江,60112200,汉口,1683050400000,6,16.670
15600,长江,60112200,汉口,1683054000000,6,16.670
15600,长江,60112200,汉口,1683057600000,6,16.670
15600,长江,60112200,汉口,1683061200000,6,16.670
15600,长江,60112200,汉口,1683064800000,6,16.670
15600,长江,60112200,汉口,1683068400000,6,16.670
15600,长江,60112200,汉口,1683072000000,5,16.680
15600,长江,60112200,汉口,1683075600000,5,16.690
15600,长江,60112200,汉口,1683079200000,6,16.690
15600,长江,60112200,汉口,1683082800000,5,16.700
15600,长江,60112200,汉口,1683086400000,6,16.700
15600,长江,60112200,汉口,1683090000000,6,16.700
15600,长江,60112200,汉口,1683093600000,6,16.700
15700,长江,60112200,汉口,1683097200000,5,16.710
15600,长江,60112200,汉口,1683100800000,4,16.700
15700,长江,60112200,汉口,1683104400000,5,16.710
15700,长江,60112200,汉口,1683108000000,6,16.710
15700,长江,60112200,汉口,1683111600000,6,16.710
15700,长江,60112200,汉口,1683115200000,6,16.710
15600,长江,60112200,汉口,1683118800000,4,16.700
15600,长江,60112200,汉口,1683122400000,6,16.700
15600,长江,60112200,汉口,1683126000000,6,16.700
15600,长江,60112200,汉口,1683129600000,6,16.700
15600,长江,60112200,汉口,1683133200000,4,16.690
15600,长江,60112200,汉口,1683136800000,6,16.690
15600,长江,60112200,汉口,1683140400000,4,16.680
15600,长江,60112200,汉口,1683144000000,6,16.680
15600,长江,60112200,汉口,1683147600000,4,16.670
15600,长江,60112200,汉口,1683151200000,6,16.670
15600,长江,60112200,汉口,1683154800000,4,16.660
15600,长江,60112200,汉口,1683158400000,6,16.660
15500,长江,60112200,汉口,1683162000000,4,16.650
15500,长江,60112200,汉口,1683165600000,4,16.640
15500,长江,60112200,汉口,1683169200000,4,16.630
15400,长江,60112200,汉口,1683172800000,4,16.610
15400,长江,60112200,汉口,1683176400000,4,16.600
15400,长江,60112200,汉口,1683180000000,4,16.590
15400,长江,60112200,汉口,1683183600000,4,16.580
15300,长江,60112200,汉口,1683187200000,4,16.560
15300,长江,60112200,汉口,1683190800000,6,16.560
15300,长江,60112200,汉口,1683194400000,4,16.540
15300,长江,60112200,汉口,1683198000000,6,16.540
15300,长江,60112200,汉口,1683201600000,6,16.540
15300,长江,60112200,汉口,1683205200000,4,16.530
15300,长江,60112200,汉口,1683208800000,6,16.530
15300,长江,60112200,汉口,1683212400000,6,16.530
15200,长江,60112200,汉口,1683216000000,4,16.510
15200,长江,60112200,汉口,1683219600000,4,16.500
15200,长江,60112200,汉口,1683223200000,6,16.500
15200,长江,60112200,汉口,1683226800000,4,16.490
15100,长江,60112200,汉口,1683230400000,4,16.480
15100,长江,60112200,汉口,1683234000000,4,16.470
15100,长江,60112200,汉口,1683237600000,4,16.460
15100,长江,60112200,汉口,1683241200000,4,16.450
15100,长江,60112200,汉口,1683244800000,4,16.440
15100,长江,60112200,汉口,1683248400000,6,16.440
15000,长江,60112200,汉口,1683252000000,4,16.430
15000,长江,60112200,汉口,1683255600000,4,16.410
15000,长江,60112200,汉口,1683259200000,6,16.410
15000,长江,60112200,汉口,1683262800000,4,16.400
14900,长江,60112200,汉口,1683266400000,4,16.390
14900,长江,60112200,汉口,1683270000000,6,16.390
14900,长江,60112200,汉口,1683273600000,4,16.380
14900,长江,60112200,汉口,1683277200000,4,16.370
14900,长江,60112200,汉口,1683280800000,4,16.360
14900,长江,60112200,汉口,1683284400000,6,16.360
14800,长江,60112200,汉口,1683288000000,4,16.340
14800,长江,60112200,汉口,1683291600000,4,16.330
14800,长江,60112200,汉口,1683295200000,4,16.320
14800,长江,60112200,汉口,1683298800000,5,16.330
14800,长江,60112200,汉口,1683302400000,4,16.320
14800,长江,60112200,汉口,1683306000000,6,16.320
14800,长江,60112200,汉口,1683309600000,6,16.310
14700,长江,60112200,汉口,1683313200000,4,16.300
14700,长江,60112200,汉口,1683316800000,6,16.300
14700,长江,60112200,汉口,1683320400000,4,16.290
14700,长江,60112200,汉口,1683324000000,5,16.300
14700,长江,60112200,汉口,1683327600000,4,16.290
14700,长江,60112200,汉口,1683331200000,4,16.280
14700,长江,60112200,汉口,1683334800000,6,16.280
14700,长江,60112200,汉口,1683338400000,6,16.280
14700,长江,60112200,汉口,1683342000000,6,16.280
14700,长江,60112200,汉口,1683345600000,6,16.280
14700,长江,60112200,汉口,1683349200000,4,16.270
14700,长江,60112200,汉口,1683352800000,5,16.280
14700,长江,60112200,汉口,1683356400000,4,16.270
14700,长江,60112200,汉口,1683360000000,6,16.270
14700,长江,60112200,汉口,1683363600000,6,16.270
14600,长江,60112200,汉口,1683367200000,4,16.260
14600,长江,60112200,汉口,1683370800000,6,16.260
14600,长江,60112200,汉口,1683374400000,6,16.260
14600,长江,60112200,汉口,1683378000000,6,16.260
14600,长江,60112200,汉口,1683381600000,6,16.260
14600,长江,60112200,汉口,1683385200000,6,16.260
14700,长江,60112200,汉口,1683388800000,5,16.270
14700,长江,60112200,汉口,1683392400000,5,16.280
14700,长江,60112200,汉口,1683396000000,6,16.280
14700,长江,60112200,汉口,1683399600000,6,16.280
14700,长江,60112200,汉口,1683403200000,6,16.280
14700,长江,60112200,汉口,1683406800000,5,16.290
14700,长江,60112200,汉口,1683410400000,6,16.290
14700,长江,60112200,汉口,1683414000000,6,16.290
14700,长江,60112200,汉口,1683417600000,5,16.300
14700,长江,60112200,汉口,1683421200000,6,16.300
14800,长江,60112200,汉口,1683424800000,5,16.310
14800,长江,60112200,汉口,1683428400000,6,16.310
14800,长江,60112200,汉口,1683432000000,6,16.310
14800,长江,60112200,汉口,1683435600000,6,16.310
14800,长江,60112200,汉口,1683439200000,5,16.330
14800,长江,60112200,汉口,1683442800000,6,16.330
14800,长江,60112200,汉口,1683446400000,5,16.340
14800,长江,60112200,汉口,1683450000000,6,16.340
14800,长江,60112200,汉口,1683453600000,5,16.350
14900,长江,60112200,汉口,1683457200000,5,16.360
14900,长江,60112200,汉口,1683460800000,6,16.360
14900,长江,60112200,汉口,1683464400000,5,16.370
14900,长江,60112200,汉口,1683468000000,5,16.380
14900,长江,60112200,汉口,1683471600000,5,16.390
14900,长江,60112200,汉口,1683475200000,6,16.390
15000,长江,60112200,汉口,1683478800000,5,16.400
15000,长江,60112200,汉口,1683482400000,5,16.420
15000,长江,60112200,汉口,1683486000000,6,16.420
15000,长江,60112200,汉口,1683489600000,5,16.430
15100,长江,60112200,汉口,1683493200000,5,16.440
15100,长江,60112200,汉口,1683496800000,5,16.460
15100,长江,60112200,汉口,1683500400000,5,16.470
15100,长江,60112200,汉口,1683504000000,5,16.480
15200,长江,60112200,汉口,1683507600000,5,16.500
15200,长江,60112200,汉口,1683511200000,5,16.510
15200,长江,60112200,汉口,1683514800000,5,16.520
15300,长江,60112200,汉口,1683518400000,5,16.530
15300,长江,60112200,汉口,1683522000000,5,16.550
15300,长江,60112200,汉口,1683525600000,5,16.560
15300,长江,60112200,汉口,1683529200000,5,16.570
15400,长江,60112200,汉口,1683532800000,5,16.590
15400,长江,60112200,汉口,1683536400000,5,16.600
15500,长江,60112200,汉口,1683540000000,5,16.620
15500,长江,60112200,汉口,1683543600000,5,16.630
15500,长江,60112200,汉口,1683547200000,5,16.650
15600,长江,60112200,汉口,1683550800000,5,16.660
15600,长江,60112200,汉口,1683554400000,5,16.680
15600,长江,60112200,汉口,1683558000000,5,16.690
15600,长江,60112200,汉口,1683561600000,5,16.700
15700,长江,60112200,汉口,1683565200000,5,16.720
15700,长江,60112200,汉口,1683568800000,5,16.740
15800,长江,60112200,汉口,1683572400000,5,16.760
15800,长江,60112200,汉口,1683576000000,5,16.770
15800,长江,60112200,汉口,1683579600000,5,16.790
15900,长江,60112200,汉口,1683583200000,5,16.800
15900,长江,60112200,汉口,1683586800000,5,16.810
15900,长江,60112200,汉口,1683590400000,5,16.830
15900,长江,60112200,汉口,1683594000000,5,16.840
16000,长江,60112200,汉口,1683597600000,5,16.860
16000,长江,60112200,汉口,1683601200000,5,16.870
16800,长江,60112200,汉口,1683601920000,5,16.870
16700,长江,60112200,汉口,1683604800000,5,16.880
16700,长江,60112200,汉口,1683608400000,5,16.900
16700,长江,60112200,汉口,1683612000000,5,16.910
16800,长江,60112200,汉口,1683615600000,5,16.930
16800,长江,60112200,汉口,1683619200000,5,16.940
16800,长江,60112200,汉口,1683622800000,5,16.960
16900,长江,60112200,汉口,1683626400000,5,16.970
16900,长江,60112200,汉口,1683630000000,5,16.980
16900,长江,60112200,汉口,1683637200000,5,17.010
17000,长江,60112200,汉口,1683640800000,5,17.020
17000,长江,60112200,汉口,1683644400000,6,17.020
17000,长江,60112200,汉口,1683648000000,5,17.040
17000,长江,60112200,汉口,1683651600000,5,17.050
17000,长江,60112200,汉口,1683655200000,5,17.060
17100,长江,60112200,汉口,1683658800000,5,17.080
17100,长江,60112200,汉口,1683662400000,5,17.090
17100,长江,60112200,汉口,1683666000000,5,17.100
17200,长江,60112200,汉口,1683669600000,5,17.110
17200,长江,60112200,汉口,1683673200000,5,17.120
17200,长江,60112200,汉口,1683676800000,5,17.140
17200,长江,60112200,汉口,1683680400000,5,17.150
17300,长江,60112200,汉口,1683684000000,5,17.160
17300,长江,60112200,汉口,1683687600000,5,17.170
17300,长江,60112200,汉口,1683691200000,5,17.180
17300,长江,60112200,汉口,1683694800000,5,17.190
17300,长江,60112200,汉口,1683698400000,5,17.200
17400,长江,60112200,汉口,1683702000000,5,17.210
17400,长江,60112200,汉口,1683705600000,5,17.220
17400,长江,60112200,汉口,1683709200000,5,17.230
17400,长江,60112200,汉口,1683712800000,5,17.240
17500,长江,60112200,汉口,1683716400000,5,17.250
17500,长江,60112200,汉口,1683720000000,5,17.260
17500,长江,60112200,汉口,1683723600000,5,17.270
17500,长江,60112200,汉口,1683727200000,5,17.280
17600,长江,60112200,汉口,1683730800000,5,17.290
17600,长江,60112200,汉口,1683734400000,5,17.300
17600,长江,60112200,汉口,1683738000000,5,17.320
17700,长江,60112200,汉口,1683741600000,5,17.330
17700,长江,60112200,汉口,1683745200000,5,17.340
17700,长江,60112200,汉口,1683748800000,6,17.340
17700,长江,60112200,汉口,1683752400000,5,17.350
17700,长江,60112200,汉口,1683756000000,5,17.360
17800,长江,60112200,汉口,1683759600000,5,17.370
17800,长江,60112200,汉口,1683763200000,5,17.380
17800,长江,60112200,汉口,1683766800000,6,17.380
17800,长江,60112200,汉口,1683770400000,5,17.400
17900,长江,60112200,汉口,1683774000000,5,17.410
17900,长江,60112200,汉口,1683777600000,5,17.420
17900,长江,60112200,汉口,1683781200000,6,17.420
17900,长江,60112200,汉口,1683784800000,5,17.430
18000,长江,60112200,汉口,1683788400000,5,17.450
18000,长江,60112200,汉口,1683792000000,6,17.450
18000,长江,60112200,汉口,1683795600000,5,17.460
18000,长江,60112200,汉口,1683799200000,5,17.470
18000,长江,60112200,汉口,1683802800000,6,17.470
18100,长江,60112200,汉口,1683806400000,5,17.480
18100,长江,60112200,汉口,1683810000000,5,17.490
18100,长江,60112200,汉口,1683813600000,5,17.500
18100,长江,60112200,汉口,1683817200000,5,17.510
18100,长江,60112200,汉口,1683820800000,6,17.510
18200,长江,60112200,汉口,1683824400000,5,17.520
18200,长江,60112200,汉口,1683828000000,6,17.520
18200,长江,60112200,汉口,1683831600000,5,17.530
18200,长江,60112200,汉口,1683835200000,6,17.530
18200,长江,60112200,汉口,1683838800000,5,17.540
18200,长江,60112200,汉口,1683842400000,5,17.550
18300,长江,60112200,汉口,1683846000000,5,17.560
18300,长江,60112200,汉口,1683849600000,6,17.560
18300,长江,60112200,汉口,1683853200000,5,17.570
18300,长江,60112200,汉口,1683856800000,5,17.580
18300,长江,60112200,汉口,1683860400000,6,17.580
18300,长江,60112200,汉口,1683864000000,5,17.590
18400,长江,60112200,汉口,1683867600000,5,17.600
18400,长江,60112200,汉口,1683871200000,6,17.600
18400,长江,60112200,汉口,1683874800000,6,17.600
18400,长江,60112200,汉口,1683878400000,5,17.610
18400,长江,60112200,汉口,1683882000000,6,17.610
18400,长江,60112200,汉口,1683885600000,6,17.610
18400,长江,60112200,汉口,1683889200000,5,17.620
18400,长江,60112200,汉口,1683892800000,5,17.630
18400,长江,60112200,汉口,1683896400000,6,17.630
18500,长江,60112200,汉口,1683900000000,5,17.640
18500,长江,60112200,汉口,1683903600000,6,17.640
18500,长江,60112200,汉口,1683907200000,6,17.640
18500,长江,60112200,汉口,1683910800000,5,17.650
18500,长江,60112200,汉口,1683914400000,6,17.650
18500,长江,60112200,汉口,1683918000000,5,17.660
18500,长江,60112200,汉口,1683921600000,6,17.660
18500,长江,60112200,汉口,1683925200000,6,17.660
18500,长江,60112200,汉口,1683928800000,5,17.670
18500,长江,60112200,汉口,1683932400000,6,17.670
