oq,q,rvnm,stcd,stnm,tm,wptn,z
0,22700,长江,60113400,九江,1659283200000,4,13.93
0,22700,长江,60113400,九江,1659286800000,4,13.92
0,22700,长江,60113400,九江,1659290400000,4,13.91
0,22600,长江,60113400,九江,1659294000000,4,13.9
0,22600,长江,60113400,九江,1659297600000,4,13.89
0,22600,长江,60113400,九江,1659301200000,4,13.88
0,22600,长江,60113400,九江,1659304800000,4,13.875
0,22600,长江,60113400,九江,1659308400000,4,13.87
0,23100,长江,60113400,九江,1659313560000,4,13.86
0,23000,长江,60113400,九江,1659322800000,4,13.83
0,23000,长江,60113400,九江,1659326400000,6,13.83
0,23000,长江,60113400,九江,1659330000000,4,13.82
0,23000,长江,60113400,九江,1659333600000,6,13.82
0,23000,长江,60113400,九江,1659337200000,4,13.81
0,22900,长江,60113400,九江,1659340800000,4,13.795
0,22900,长江,60113400,九江,1659344400000,4,13.79
0,22900,长江,60113400,九江,1659348000000,4,13.78
0,22900,长江,60113400,九江,1659351600000,6,13.78
0,22900,长江,60113400,九江,1659355200000,4,13.77
0,22800,长江,60113400,九江,1659358800000,4,13.76
0,22800,长江,60113400,九江,1659362400000,4,13.75
0,22800,长江,60113400,九江,1659366000000,4,13.74
0,22800,长江,60113400,九江,1659369600000,4,13.73
0,22700,长江,60113400,九江,1659373200000,4,13.72
0,22700,长江,60113400,九江,1659376800000,6,13.72
0,22700,长江,60113400,九江,1659380400000,4,13.7
0,22700,长江,60113400,九江,1659384000000,6,13.7
0,22700,长江,60113400,九江,1659387600000,4,13.69
0,22600,长江,60113400,九江,1659391200000,4,13.68
0,22600,长江,60113400,九江,1659394800000,4,13.67
0,22600,长江,60113400,九江,1659398400000,4,13.66
0,22500,长江,60113400,九江,1659409200000,4,13.64
0,22500,长江,60113400,九江,1659412800000,4,13.63
0,22500,长江,60113400,九江,1659416400000,6,13.63
0,22500,长江,60113400,九江,1659420000000,4,13.62
0,22300,长江,60113400,九江,1659441600000,4,13.56
0,21900,长江,60113400,九江,1659502800000,4,13.4
0,21800,长江,60113400,九江,1659520800000,6,13.35
0,21600,长江,60113400,九江,1659542400000,4,13.28
0,21600,长江,60113400,九江,1659582000000,4,13.16
0,21600,长江,60113400,九江,1659585600000,4,13.15
0,21600,长江,60113400,九江,1659589200000,6,13.15
