oq,rvnm,stcd,stnm,tm,wptn,z
17200,长江干流,60106980,三峡水库,1717167600000,4,147.900
17200,长江干流,60106980,三峡水库,1717171200000,4,147.880
16500,长江干流,60106980,三峡水库,1717174800000,4,147.870
16500,13000,长江干流,60106980,三峡水库,1717178400000,4,147.860
16400,长江干流,60106980,三峡水库,1717182000000,6,147.860
16400,长江干流,60106980,三峡水库,1717185600000,4,147.840
16400,长江干流,60106980,三峡水库,1717189200000,4,147.820
16400,长江干流,60106980,三峡水库,1717192800000,4,147.790
17900,长江干流,60106980,三峡水库,1717196400000,4,147.700
18100,13000,长江干流,60106980,三峡水库,1717200000000,4,147.660
18100,长江干流,60106980,三峡水库,1717203600000,4,147.580
15700,长江干流,60106980,三峡水库,1717207200000,5,147.610
12200,长江干流,60106980,三峡水库,1717210800000,5,147.700
12100,长江干流,60106980,三峡水库,1717214400000,5,147.730
12100,长江干流,60106980,三峡水库,1717218000000,5,147.800
12000,12500,长江干流,60106980,三峡水库,1717221600000,5,147.810
12000,长江干流,60106980,三峡水库,1717225200000,6,147.810
13500,长江干流,60106980,三峡水库,1717228800000,4,147.800
17000,长江干流,60106980,三峡水库,1717232400000,4,147.680
18100,长江干流,60106980,三峡水库,1717236000000,4,147.600
18100,长江干流,60106980,三峡水库,1717239600000,4,147.470
18200,12500,长江干流,60106980,三峡水库,1717243200000,4,147.430
18200,长江干流,60106980,三峡水库,1717246800000,4,147.400
18300,长江干流,60106980,三峡水库,1717250400000,4,147.330
17500,长江干流,60106980,三峡水库,1717254000000,4,147.300
17600,长江干流,60106980,三峡水库,1717257600000,4,147.280
16700,长江干流,60106980,三峡水库,1717261200000,5,147.290
16800,13200,长江干流,60106980,三峡水库,1717264800000,4,147.280
16700,长江干流,60106980,三峡水库,1717268400000,6,147.280
16700,长江干流,60106980,三峡水库,1717272000000,4,147.240
16600,长江干流,60106980,三峡水库,1717275600000,4,147.210
16600,长江干流,60106980,三峡水库,1717279200000,5,147.240
18100,长江干流,60106980,三峡水库,1717282800000,4,147.130
18200,14000,长江干流,60106980,三峡水库,1717286400000,4,147.110
18300,长江干流,60106980,三峡水库,1717290000000,4,147.070
16000,长江干流,60106980,三峡水库,1717293600000,5,147.100
12200,长江干流,60106980,三峡水库,1717297200000,5,147.240
12200,长江干流,60106980,三峡水库,1717300800000,5,147.260
12200,长江干流,60106980,三峡水库,1717304400000,5,147.340
12200,13500,长江干流,60106980,三峡水库,1717308000000,5,147.350
12200,长江干流,60106980,三峡水库,1717311600000,5,147.370
13600,长江干流,60106980,三峡水库,1717315200000,4,147.340
17200,长江干流,60106980,三峡水库,1717318800000,4,147.220
18200,长江干流,60106980,三峡水库,1717322400000,4,147.120
18300,长江干流,60106980,三峡水库,1717326000000,4,147.010
18300,13000,长江干流,60106980,三峡水库,1717329600000,4,146.980
18300,长江干流,60106980,三峡水库,1717333200000,4,146.910
18400,长江干流,60106980,三峡水库,1717336800000,4,146.870
17600,长江干流,60106980,三峡水库,1717340400000,4,146.850
17600,长江干流,60106980,三峡水库,1717344000000,4,146.800
16800,长江干流,60106980,三峡水库,1717347600000,5,146.830
16800,13000,长江干流,60106980,三峡水库,1717351200000,4,146.800
16800,长江干流,60106980,三峡水库,1717354800000,4,146.790
16800,长江干流,60106980,三峡水库,1717358400000,4,146.760
16800,长江干流,60106980,三峡水库,1717362000000,4,146.720
16800,长江干流,60106980,三峡水库,1717365600000,4,146.700
18200,长江干流,60106980,三峡水库,1717369200000,4,146.630
18600,13500,长江干流,60106980,三峡水库,1717372800000,4,146.600
18600,长江干流,60106980,三峡水库,1717376400000,4,146.510
16200,长江干流,60106980,三峡水库,1717380000000,5,146.550
12400,长江干流,60106980,三峡水库,1717383600000,5,146.660
12300,长江干流,60106980,三峡水库,1717387200000,5,146.710
12300,长江干流,60106980,三峡水库,1717390800000,5,146.800
12300,13400,长江干流,60106980,三峡水库,1717394400000,5,146.810
12300,长江干流,60106980,三峡水库,1717398000000,5,146.830
13700,长江干流,60106980,三峡水库,1717401600000,6,146.830
17400,长江干流,60106980,三峡水库,1717405200000,4,146.680
18500,长江干流,60106980,三峡水库,1717408800000,4,146.530
18600,长江干流,60106980,三峡水库,1717412400000,4,146.440
18600,13400,长江干流,60106980,三峡水库,1717416000000,4,146.410
18700,长江干流,60106980,三峡水库,1717419600000,4,146.350
18700,长江干流,60106980,三峡水库,1717423200000,4,146.280
17900,长江干流,60106980,三峡水库,1717426800000,5,146.290
18000,长江干流,60106980,三峡水库,1717430400000,4,146.230
15800,长江干流,60106980,三峡水库,1717434000000,5,146.290
15800,13200,长江干流,60106980,三峡水库,1717437600000,4,146.280
15700,长江干流,60106980,三峡水库,1717441200000,6,146.280
15700,长江干流,60106980,三峡水库,1717444800000,4,146.270
15600,长江干流,60106980,三峡水库,1717448400000,4,146.220
15600,长江干流,60106980,三峡水库,1717452000000,5,146.240
17600,长江干流,60106980,三峡水库,1717455600000,4,146.160
17800,13200,长江干流,60106980,三峡水库,1717459200000,4,146.110
17800,长江干流,60106980,三峡水库,1717462800000,4,146.050
15400,长江干流,60106980,三峡水库,1717466400000,5,146.100
12500,长江干流,60106980,三峡水库,1717470000000,5,146.180
12500,长江干流,60106980,三峡水库,1717473600000,5,146.210
12400,长江干流,60106980,三峡水库,1717477200000,5,146.250
12400,13000,长江干流,60106980,三峡水库,1717480800000,4,146.230
12400,长江干流,60106980,三峡水库,1717484400000,5,146.260
13900,长江干流,60106980,三峡水库,1717488000000,4,146.240
17700,长江干流,60106980,三峡水库,1717491600000,4,146.060
18700,长江干流,60106980,三峡水库,1717495200000,4,145.960
