q,rvnm,stcd,stnm,tm,wptn,z
2120,金沙江,60103400,向家坝,1777568400000,4,266.590
2030,金沙江,60103400,向家坝,1777572000000,4,266.430
1990,金沙江,60103400,向家坝,1777575600000,4,266.350
1930,金沙江,60103400,向家坝,1777582800000,4,266.250
1910,金沙江,60103400,向家坝,1777586400000,4,266.230
1930,金沙江,60103400,向家坝,1777590000000,5,266.250
1930,金沙江,60103400,向家坝,1777608000000,6,266.250
1930,金沙江,60103400,向家坝,1777615200000,5,266.260
1930,金沙江,60103400,向家坝,1777622400000,4,266.250
2210,金沙江,60103400,向家坝,1777626000000,5,266.630
3100,金沙江,60103400,向家坝,1777633200000,5,267.560
3120,金沙江,60103400,向家坝,1777636800000,5,267.580
2850,金沙江,60103400,向家坝,1777640400000,4,267.310
2220,金沙江,60103400,向家坝,1777644000000,4,266.640
2040,金沙江,60103400,向家坝,1777647600000,4,266.410
1990,金沙江,60103400,向家坝,1777651200000,4,266.380
2000,金沙江,60103400,向家坝,1777654800000,5,266.390
2020,金沙江,60103400,向家坝,1777662000000,6,266.390
1990,金沙江,60103400,向家坝,1777665600000,4,266.350
1970,金沙江,60103400,向家坝,1777669200000,4,266.320
1980,金沙江,60103400,向家坝,1777672800000,5,266.330
1950,金沙江,60103400,向家坝,1777676400000,4,266.290
1940,金沙江,60103400,向家坝,1777690800000,5,266.280
1950,金沙江,60103400,向家坝,1777698000000,5,266.290
1930,金沙江,60103400,向家坝,1777705200000,4,266.260
1910,金沙江,60103400,向家坝,1777708800000,4,266.230
2200,金沙江,60103400,向家坝,1777712400000,5,266.610
2850,金沙江,60103400,向家坝,1777716000000,5,267.310
3030,金沙江,60103400,向家坝,1777719600000,5,267.500
3130,金沙江,60103400,向家坝,1777723200000,5,267.590
2870,金沙江,60103400,向家坝,1777726800000,4,267.330
2200,金沙江,60103400,向家坝,1777730400000,4,266.620
2010,金沙江,60103400,向家坝,1777734000000,4,266.370
1960,金沙江,60103400,向家坝,1777737600000,4,266.310
1960,金沙江,60103400,向家坝,1777741200000,4,266.300
1960,金沙江,60103400,向家坝,1777748400000,6,266.300
1960,金沙江,60103400,向家坝,1777752000000,6,266.300
1950,金沙江,60103400,向家坝,1777755600000,4,266.290
1960,金沙江,60103400,向家坝,1777759200000,5,266.300
1940,金沙江,60103400,向家坝,1777762800000,4,266.280
1960,金沙江,60103400,向家坝,1777773600000,5,266.300
1980,金沙江,60103400,向家坝,1777784400000,5,266.340
1980,金沙江,60103400,向家坝,1777795200000,4,266.330
2250,金沙江,60103400,向家坝,1777798800000,5,266.670
2920,金沙江,60103400,向家坝,1777802400000,5,267.380
3100,金沙江,60103400,向家坝,1777806000000,5,267.560
2930,金沙江,60103400,向家坝,1777813200000,4,267.460
2270,金沙江,60103400,向家坝,1777816800000,4,266.770
2080,金沙江,60103400,向家坝,1777820400000,4,266.550
2030,金沙江,60103400,向家坝,1777824000000,4,266.540
2010,金沙江,60103400,向家坝,1777827600000,5,266.600
2020,金沙江,60103400,向家坝,1777831200000,5,266.610
2020,金沙江,60103400,向家坝,1777834800000,5,266.670
2020,金沙江,60103400,向家坝,1777838400000,5,266.680
2030,金沙江,60103400,向家坝,1777842000000,6,266.680
2020,金沙江,60103400,向家坝,1777845600000,5,266.720
2030,金沙江,60103400,向家坝,1777849200000,5,266.800
2050,金沙江,60103400,向家坝,1777860000000,4,266.800
2050,金沙江,60103400,向家坝,1777870800000,4,266.710
2070,金沙江,60103400,向家坝,1777881600000,5,266.610
3050,金沙江,60103400,向家坝,1777888800000,5,267.730
3300,金沙江,60103400,向家坝,1777896000000,5,267.920
2280,金沙江,60103400,向家坝,1777903200000,4,266.880
2040,金沙江,60103400,向家坝,1777910400000,4,266.520
2020,金沙江,60103400,向家坝,1777914000000,4,266.490
2010,金沙江,60103400,向家坝,1777921200000,5,266.510
2010,金沙江,60103400,向家坝,1777924800000,5,266.530
2020,金沙江,60103400,向家坝,1777928400000,5,266.540
2020,金沙江,60103400,向家坝,1777932000000,6,266.540
2020,金沙江,60103400,向家坝,1777935600000,6,266.540
2010,金沙江,60103400,向家坝,1777942800000,4,266.530
2030,金沙江,60103400,向家坝,1777953600000,4,266.490
2020,金沙江,60103400,向家坝,1777960800000,6,266.480
2020,金沙江,60103400,向家坝,1777968000000,5,266.480
3020,金沙江,60103400,向家坝,1777975200000,5,267.560
3220,金沙江,60103400,向家坝,1777978800000,5,267.750
3270,金沙江,60103400,向家坝,1777982400000,5,267.800
2140,金沙江,60103400,向家坝,1777996800000,4,266.630
2120,金沙江,60103400,向家坝,1778000400000,4,266.610
2130,金沙江,60103400,向家坝,1778007600000,4,266.560
2100,金沙江,60103400,向家坝,1778011200000,4,266.490
2080,金沙江,60103400,向家坝,1778014800000,4,266.460
2080,金沙江,60103400,向家坝,1778018400000,6,266.460
2470,金沙江,60103400,向家坝,1778022000000,5,266.900
2780,金沙江,60103400,向家坝,1778029200000,5,267.230
2110,金沙江,60103400,向家坝,1778040000000,4,266.520
2030,金沙江,60103400,向家坝,1778050800000,4,266.400
3300,金沙江,60103400,向家坝,1778058000000,5,267.760
4310,金沙江,60103400,向家坝,1778065200000,5,268.710
4370,金沙江,60103400,向家坝,1778072400000,6,268.770
