q,rvnm,stcd,stnm,tm,wptn,z
820,汉江,61804110,皇庄,1777568400000,5,39.670
820,汉江,61804110,皇庄,1777572000000,6,39.670
820,汉江,61804110,皇庄,1777575600000,6,39.670
823,汉江,61804110,皇庄,1777582800000,6,39.680
823,汉江,61804110,皇庄,1777586400000,6,39.680
823,汉江,61804110,皇庄,1777590000000,6,39.680
820,汉江,61804110,皇庄,1777593600000,4,39.670
830,汉江,61804110,皇庄,1777608000000,6,39.700
830,汉江,61804110,皇庄,1777615200000,6,39.700
823,汉江,61804110,皇庄,1777622400000,4,39.680
820,汉江,61804110,皇庄,1777629600000,4,39.670
823,汉江,61804110,皇庄,1777633200000,5,39.680
823,汉江,61804110,皇庄,1777636800000,6,39.680
823,汉江,61804110,皇庄,1777640400000,6,39.680
823,汉江,61804110,皇庄,1777644000000,6,39.680
820,汉江,61804110,皇庄,1777647600000,4,39.670
806,汉江,61804110,皇庄,1777651200000,4,39.630
803,汉江,61804110,皇庄,1777654800000,4,39.620
775,汉江,61804110,皇庄,1777662000000,4,39.540
