oq,q,rvnm,stcd,stnm,tm,wptn,z
0,0,汉江,61802500,龙王庙,1638288000000,6,169.16
0,0,汉江,61802500,龙王庙,1638291600000,4,169.15
0,0,汉江,61802500,龙王庙,1638295200000,6,169.15
0,0,汉江,61802500,龙王庙,1638298800000,4,169.14
0,0,汉江,61802500,龙王庙,1638302400000,5,169.15
0,0,汉江,61802500,龙王庙,1638306000000,6,169.15
0,0,汉江,61802500,龙王庙,1638309600000,6,169.15
0,0,汉江,61802500,龙王庙,1638313200000,5,169.16
0,0,汉江,61802500,龙王庙,1638316800000,6,169.16
0,0,汉江,61802500,龙王庙,1638320400000,4,169.15
0,0,汉江,61802500,龙王庙,1638324000000,6,169.15
0,0,汉江,61802500,龙王庙,1638327600000,4,169.13
0,0,汉江,61802500,龙王庙,1638331200000,6,169.13
0,0,汉江,61802500,龙王庙,1638334800000,5,169.14
0,0,汉江,61802500,龙王庙,1638338400000,4,169.13
0,0,汉江,61802500,龙王庙,1638342000000,6,169.13
0,0,汉江,61802500,龙王庙,1638345600000,6,169.13
0,0,汉江,61802500,龙王庙,1638349200000,4,169.12
0,0,汉江,61802500,龙王庙,1638352800000,6,169.12
0,0,汉江,61802500,龙王庙,1638356400000,6,169.12
0,0,汉江,61802500,龙王庙,1638360000000,5,169.13
0,0,汉江,61802500,龙王庙,1638363600000,6,169.13
0,0,汉江,61802500,龙王庙,1638367200000,6,169.13
0,0,汉江,61802500,龙王庙,1638370800000,6,169.13
0,0,汉江,61802500,龙王庙,1638374400000,5,169.14
0,0,汉江,61802500,龙王庙,1638378000000,4,169.13
0,0,汉江,61802500,龙王庙,1638381600000,6,169.13
0,0,汉江,61802500,龙王庙,1638385200000,4,169.12
0,0,汉江,61802500,龙王庙,1638388800000,5,169.13
0,0,汉江,61802500,龙王庙,1638392400000,4,169.12
0,0,汉江,61802500,龙王庙,1638396000000,6,169.12
0,0,汉江,61802500,龙王庙,1638399600000,5,169.13
0,0,汉江,61802500,龙王庙,1638403200000,6,169.13
0,0,汉江,61802500,龙王庙,1638406800000,6,169.13
0,0,汉江,61802500,龙王庙,1638410400000,6,169.13
0,0,汉江,61802500,龙王庙,1638414000000,4,169.11
0,0,汉江,61802500,龙王庙,1638417600000,6,169.11
0,0,汉江,61802500,龙王庙,1638421200000,4,169.1
0,0,汉江,61802500,龙王庙,1638424800000,6,169.1
0,0,汉江,61802500,龙王庙,1638428400000,6,169.1
0,0,汉江,61802500,龙王庙,1638432000000,6,169.1
0,0,汉江,61802500,龙王庙,1638435600000,4,169.09
