oq,q,rvnm,stcd,stnm,tm,wptn,z
0,9500,洞庭湖,61512000,城陵矶(七),1604160000000,6,27.09
0,9450,洞庭湖,61512000,城陵矶(七),1604163600000,4,27.07
0,9450,洞庭湖,61512000,城陵矶(七),1604167200000,6,27.07
0,9430,洞庭湖,61512000,城陵矶(七),1604170800000,4,27.06
0,9390,洞庭湖,61512000,城陵矶(七),1604174400000,4,27.04
0,9390,洞庭湖,61512000,城陵矶(七),1604178000000,6,27.04
0,9370,洞庭湖,61512000,城陵矶(七),1604181600000,4,27.03
0,9330,洞庭湖,61512000,城陵矶(七),1604185200000,4,27.01
0,9330,洞庭湖,61512000,城陵矶(七),1604188800000,6,27.01
0,9330,洞庭湖,61512000,城陵矶(七),1604192400000,6,27.01
0,9310,洞庭湖,61512000,城陵矶(七),1604196000000,4,27
0,9280,洞庭湖,61512000,城陵矶(七),1604199600000,4,26.98
0,9250,洞庭湖,61512000,城陵矶(七),1604203200000,4,26.96
0,9220,洞庭湖,61512000,城陵矶(七),1604206800000,4,26.94
0,9220,洞庭湖,61512000,城陵矶(七),1604210400000,6,26.94
0,9220,洞庭湖,61512000,城陵矶(七),1604214000000,6,26.94
0,9220,洞庭湖,61512000,城陵矶(七),1604217600000,6,26.94
0,9220,洞庭湖,61512000,城陵矶(七),1604221200000,6,26.94
0,9190,洞庭湖,61512000,城陵矶(七),1604224800000,4,26.92
0,9190,洞庭湖,61512000,城陵矶(七),1604228400000,6,26.92
0,9180,洞庭湖,61512000,城陵矶(七),1604232000000,4,26.91
0,9180,洞庭湖,61512000,城陵矶(七),1604235600000,6,26.91
0,9160,洞庭湖,61512000,城陵矶(七),1604239200000,4,26.9
0,9150,洞庭湖,61512000,城陵矶(七),1604242800000,4,26.89
0,9130,洞庭湖,61512000,城陵矶(七),1604246400000,4,26.88
0,9120,洞庭湖,61512000,城陵矶(七),1604250000000,4,26.87
0,9100,洞庭湖,61512000,城陵矶(七),1604253600000,4,26.86
0,9090,洞庭湖,61512000,城陵矶(七),1604257200000,4,26.85
0,9070,洞庭湖,61512000,城陵矶(七),1604260800000,4,26.84
0,9060,洞庭湖,61512000,城陵矶(七),1604264400000,4,26.83
0,9040,洞庭湖,61512000,城陵矶(七),1604268000000,4,26.82
0,9030,洞庭湖,61512000,城陵矶(七),1604271600000,4,26.81
0,9010,洞庭湖,61512000,城陵矶(七),1604275200000,4,26.8
0,9010,洞庭湖,61512000,城陵矶(七),1604278800000,6,26.8
0,9000,洞庭湖,61512000,城陵矶(七),1604282400000,4,26.79
0,9000,洞庭湖,61512000,城陵矶(七),1604286000000,6,26.79
0,8970,洞庭湖,61512000,城陵矶(七),1604289600000,4,26.77
0,8960,洞庭湖,61512000,城陵矶(七),1604293200000,4,26.76
0,8930,洞庭湖,61512000,城陵矶(七),1604296800000,4,26.74
0,8900,洞庭湖,61512000,城陵矶(七),1604300400000,4,26.72
0,8870,洞庭湖,61512000,城陵矶(七),1604304000000,4,26.7
0,8870,洞庭湖,61512000,城陵矶(七),1604307600000,6,26.7
0,8870,洞庭湖,61512000,城陵矶(七),1604311200000,6,26.7
0,8840,洞庭湖,61512000,城陵矶(七),1604314800000,4,26.68
0,8820,洞庭湖,61512000,城陵矶(七),1604318400000,4,26.67
0,8810,洞庭湖,61512000,城陵矶(七),1604322000000,4,26.66
0,8790,洞庭湖,61512000,城陵矶(七),1604325600000,4,26.65
0,8790,洞庭湖,61512000,城陵矶(七),1604329200000,6,26.65
0,8780,洞庭湖,61512000,城陵矶(七),1604332800000,4,26.64
0,8750,洞庭湖,61512000,城陵矶(七),1604336400000,4,26.62
0,8720,洞庭湖,61512000,城陵矶(七),1604343600000,4,26.6
0,8680,洞庭湖,61512000,城陵矶(七),1604358000000,4,26.56
0,8680,洞庭湖,61512000,城陵矶(七),1604361600000,6,26.56
0,8660,洞庭湖,61512000,城陵矶(七),1604365200000,4,26.55
0,8650,洞庭湖,61512000,城陵矶(七),1604368800000,4,26.54
0,8250,洞庭湖,61512000,城陵矶(七),1604372400000,6,26.54
0,8250,洞庭湖,61512000,城陵矶(七),1604376000000,6,26.54
0,8240,洞庭湖,61512000,城陵矶(七),1604379600000,4,26.52
0,8230,洞庭湖,61512000,城陵矶(七),1604383200000,4,26.51
0,8230,洞庭湖,61512000,城陵矶(七),1604386800000,6,26.51
0,8210,洞庭湖,61512000,城陵矶(七),1604390400000,4,26.49
0,8190,洞庭湖,61512000,城陵矶(七),1604394000000,4,26.47
0,8190,洞庭湖,61512000,城陵矶(七),1604397600000,6,26.47
0,8180,洞庭湖,61512000,城陵矶(七),1604401200000,4,26.46
0,8170,洞庭湖,61512000,城陵矶(七),1604404800000,4,26.45
0,8170,洞庭湖,61512000,城陵矶(七),1604408400000,4,26.44
0,8170,洞庭湖,61512000,城陵矶(七),1604412000000,6,26.44
0,8160,洞庭湖,61512000,城陵矶(七),1604415600000,4,26.43
0,8150,洞庭湖,61512000,城陵矶(七),1604419200000,4,26.42
0,8140,洞庭湖,61512000,城陵矶(七),1604422800000,4,26.41
0,8130,洞庭湖,61512000,城陵矶(七),1604426400000,4,26.4
0,8120,洞庭湖,61512000,城陵矶(七),1604430000000,4,26.39
0,8110,洞庭湖,61512000,城陵矶(七),1604433600000,4,26.38
0,8100,洞庭湖,61512000,城陵矶(七),1604437200000,4,26.37
0,8090,洞庭湖,61512000,城陵矶(七),1604440800000,4,26.36
0,8090,洞庭湖,61512000,城陵矶(七),1604444400000,6,26.36
0,8090,洞庭湖,61512000,城陵矶(七),1604448000000,4,26.35
0,8080,洞庭湖,61512000,城陵矶(七),1604451600000,4,26.34
0,8080,洞庭湖,61512000,城陵矶(七),1604455200000,6,26.34
0,8070,洞庭湖,61512000,城陵矶(七),1604458800000,4,26.33
0,8060,洞庭湖,61512000,城陵矶(七),1604462400000,4,26.32
0,8050,洞庭湖,61512000,城陵矶(七),1604466000000,4,26.31
0,8040,洞庭湖,61512000,城陵矶(七),1604469600000,4,26.3
0,8030,洞庭湖,61512000,城陵矶(七),1604473200000,4,26.29
0,8020,洞庭湖,61512000,城陵矶(七),1604476800000,4,26.28
0,8010,洞庭湖,61512000,城陵矶(七),1604480400000,4,26.26
0,8000,洞庭湖,61512000,城陵矶(七),1604484000000,4,26.25
0,7990,洞庭湖,61512000,城陵矶(七),1604487600000,4,26.24
0,7970,洞庭湖,61512000,城陵矶(七),1604491200000,4,26.22
0,7960,洞庭湖,61512000,城陵矶(七),1604494800000,4,26.21
0,7870,洞庭湖,61512000,城陵矶(七),1604534400000,4,26.1
0,7860,洞庭湖,61512000,城陵矶(七),1604538000000,4,26.09
0,7860,洞庭湖,61512000,城陵矶(七),1604541600000,6,26.09
0,7840,洞庭湖,61512000,城陵矶(七),1604545200000,4,26.07
0,7840,洞庭湖,61512000,城陵矶(七),1604548800000,6,26.07
0,7830,洞庭湖,61512000,城陵矶(七),1604552400000,4,26.06
0,7830,洞庭湖,61512000,城陵矶(七),1604556000000,4,26.05
0,7820,洞庭湖,61512000,城陵矶(七),1604559600000,4,26.04
0,7820,洞庭湖,61512000,城陵矶(七),1604563200000,4,26.03
0,7810,洞庭湖,61512000,城陵矶(七),1604566800000,4,26.02
0,7810,洞庭湖,61512000,城陵矶(七),1604570400000,4,26.01
0,7800,洞庭湖,61512000,城陵矶(七),1604574000000,4,26
0,7790,洞庭湖,61512000,城陵矶(七),1604577600000,4,25.99
0,7780,洞庭湖,61512000,城陵矶(七),1604581200000,4,25.97
0,7780,洞庭湖,61512000,城陵矶(七),1604584800000,4,25.96
0,7780,洞庭湖,61512000,城陵矶(七),1604588400000,6,25.96
0,7770,洞庭湖,61512000,城陵矶(七),1604592000000,4,25.95
0,7760,洞庭湖,61512000,城陵矶(七),1604595600000,4,25.93
0,7750,洞庭湖,61512000,城陵矶(七),1604599200000,4,25.92
0,7750,洞庭湖,61512000,城陵矶(七),1604602800000,4,25.91
0,7740,洞庭湖,61512000,城陵矶(七),1604606400000,4,25.9
0,7740,洞庭湖,61512000,城陵矶(七),1604610000000,4,25.89
0,7730,洞庭湖,61512000,城陵矶(七),1604613600000,4,25.88
0,7720,洞庭湖,61512000,城陵矶(七),1604617200000,4,25.86
0,7710,洞庭湖,61512000,城陵矶(七),1604620800000,4,25.85
0,7710,洞庭湖,61512000,城陵矶(七),1604624400000,4,25.84
0,7700,洞庭湖,61512000,城陵矶(七),1604628000000,4,25.83
0,7690,洞庭湖,61512000,城陵矶(七),1604631600000,4,25.82
0,7690,洞庭湖,61512000,城陵矶(七),1604635200000,4,25.81
0,7680,洞庭湖,61512000,城陵矶(七),1604638800000,4,25.8
0,7680,洞庭湖,61512000,城陵矶(七),1604642400000,6,25.8
0,7680,洞庭湖,61512000,城陵矶(七),1604646000000,4,25.79
0,7670,洞庭湖,61512000,城陵矶(七),1604649600000,4,25.77
0,7130,洞庭湖,61512000,城陵矶(七),1604653200000,4,25.76
0,7110,洞庭湖,61512000,城陵矶(七),1604656800000,4,25.74
0,7110,洞庭湖,61512000,城陵矶(七),1604660400000,6,25.74
0,7100,洞庭湖,61512000,城陵矶(七),1604664000000,4,25.72
0,7090,洞庭湖,61512000,城陵矶(七),1604667600000,4,25.71
0,7080,洞庭湖,61512000,城陵矶(七),1604671200000,4,25.7
0,7070,洞庭湖,61512000,城陵矶(七),1604674800000,4,25.68
0,7050,洞庭湖,61512000,城陵矶(七),1604682000000,4,25.66
0,6970,洞庭湖,61512000,城陵矶(七),1604725200000,4,25.55
0,6970,洞庭湖,61512000,城陵矶(七),1604728800000,6,25.55
0,6950,洞庭湖,61512000,城陵矶(七),1604732400000,4,25.53
0,6950,洞庭湖,61512000,城陵矶(七),1604736000000,4,25.52
0,6940,洞庭湖,61512000,城陵矶(七),1604739600000,4,25.51
0,6930,洞庭湖,61512000,城陵矶(七),1604743200000,4,25.5
0,6920,洞庭湖,61512000,城陵矶(七),1604746800000,4,25.49
0,6920,洞庭湖,61512000,城陵矶(七),1604750400000,4,25.48
0,6920,洞庭湖,61512000,城陵矶(七),1604754000000,6,25.48
0,6910,洞庭湖,61512000,城陵矶(七),1604757600000,4,25.47
0,6900,洞庭湖,61512000,城陵矶(七),1604761200000,4,25.46
0,6890,洞庭湖,61512000,城陵矶(七),1604764800000,4,25.45
0,6880,洞庭湖,61512000,城陵矶(七),1604768400000,4,25.44
0,6880,洞庭湖,61512000,城陵矶(七),1604772000000,4,25.43
0,6870,洞庭湖,61512000,城陵矶(七),1604775600000,4,25.42
0,6860,洞庭湖,61512000,城陵矶(七),1604779200000,4,25.41
0,6850,洞庭湖,61512000,城陵矶(七),1604782800000,4,25.39
0,6840,洞庭湖,61512000,城陵矶(七),1604786400000,4,25.38
0,6850,洞庭湖,61512000,城陵矶(七),1604790000000,5,25.39
0,6830,洞庭湖,61512000,城陵矶(七),1604793600000,4,25.37
0,6830,洞庭湖,61512000,城陵矶(七),1604797200000,6,25.37
0,6820,洞庭湖,61512000,城陵矶(七),1604800800000,4,25.36
0,6820,洞庭湖,61512000,城陵矶(七),1604804400000,4,25.35
0,6810,洞庭湖,61512000,城陵矶(七),1604808000000,4,25.34
0,6790,洞庭湖,61512000,城陵矶(七),1604811600000,4,25.32
0,6790,洞庭湖,61512000,城陵矶(七),1604815200000,6,25.32
0,6780,洞庭湖,61512000,城陵矶(七),1604818800000,4,25.3
0,6770,洞庭湖,61512000,城陵矶(七),1604822400000,4,25.29
0,6760,洞庭湖,61512000,城陵矶(七),1604826000000,4,25.28
0,6760,洞庭湖,61512000,城陵矶(七),1604829600000,4,25.27
0,6760,洞庭湖,61512000,城陵矶(七),1604833200000,6,25.27
0,6750,洞庭湖,61512000,城陵矶(七),1604836800000,4,25.26
0,6740,洞庭湖,61512000,城陵矶(七),1604840400000,4,25.25
0,6740,洞庭湖,61512000,城陵矶(七),1604844000000,6,25.25
0,6730,洞庭湖,61512000,城陵矶(七),1604847600000,4,25.24
0,6730,洞庭湖,61512000,城陵矶(七),1604851200000,4,25.23
0,6720,洞庭湖,61512000,城陵矶(七),1604854800000,4,25.22
0,6710,洞庭湖,61512000,城陵矶(七),1604858400000,4,25.21
0,6710,洞庭湖,61512000,城陵矶(七),1604862000000,4,25.2
0,6700,洞庭湖,61512000,城陵矶(七),1604865600000,4,25.19
0,6700,洞庭湖,61512000,城陵矶(七),1604869200000,4,25.18
0,6700,洞庭湖,61512000,城陵矶(七),1604872800000,6,25.18
0,6690,洞庭湖,61512000,城陵矶(七),1604876400000,4,25.16
0,6690,洞庭湖,61512000,城陵矶(七),1604880000000,6,25.16
0,6690,洞庭湖,61512000,城陵矶(七),1604883600000,4,25.15
0,6690,洞庭湖,61512000,城陵矶(七),1604887200000,6,25.15
0,6680,洞庭湖,61512000,城陵矶(七),1604890800000,4,25.14
