rvnm,stcd,stnm,tm,wptn,z
长江干流,60108300,沙市,1788206400000,5,33.900
长江干流,60108300,沙市,1788217200000,6,33.920
13400,长江干流,60108300,沙市,1788224400000,4,33.900
12900,长江干流,60108300,沙市,1788246000000,4,33.750
12500,长江干流,60108300,沙市,1788264000000,4,33.620
12300,长江干流,60108300,沙市,1788278400000,4,33.530
12500,长江干流,60108300,沙市,1788289200000,5,33.530
12600,长江干流,60108300,沙市,1788296400000,5,33.550
12700,长江干流,60108300,沙市,1788303600000,6,33.560
12400,长江干流,60108300,沙市,1788321600000,4,33.490
11800,长江干流,60108300,沙市,1788350400000,4,33.310
11600,长江干流,60108300,沙市,1788364800000,4,33.190
11700,长江干流,60108300,沙市,1788375600000,6,33.170
11800,长江干流,60108300,沙市,1788382800000,6,33.180
11800,长江干流,60108300,沙市,1788390000000,6,33.180
11800,长江干流,60108300,沙市,1788400800000,4,33.160
11900,长江干流,60108300,沙市,1788418800000,4,33.160
11500,长江干流,60108300,沙市,1788433200000,4,33.090
11400,长江干流,60108300,沙市,1788451200000,6,33.000
11600,长江干流,60108300,沙市,1788462000000,6,33.000
11600,长江干流,60108300,沙市,1788469200000,6,33.020
11600,长江干流,60108300,沙市,1788476400000,4,33.010
11500,长江干流,60108300,沙市,1788483600000,4,32.990
11300,长江干流,60108300,沙市,1788498000000,4,32.920
11000,长江干流,60108300,沙市,1788516000000,4,32.800
10900,长江干流,60108300,沙市,1788530400000,4,32.730
11100,长江干流,60108300,沙市,1788541200000,5,32.730
