q,rvnm,stcd,stnm,tm,wptn,z
2780,洞庭湖湖口,61512000,七里山,1743436800000,6,21.120
2780,洞庭湖湖口,61512000,七里山,1743440400000,6,21.120
2780,洞庭湖湖口,61512000,七里山,1743444000000,6,21.120
2780,洞庭湖湖口,61512000,七里山,1743447600000,6,21.120
2780,洞庭湖湖口,61512000,七里山,1743451200000,6,21.120
2800,洞庭湖湖口,61512000,七里山,1743454800000,5,21.130
2800,洞庭湖湖口,61512000,七里山,1743458400000,6,21.130
2820,洞庭湖湖口,61512000,七里山,1743462000000,5,21.140
2820,洞庭湖湖口,61512000,七里山,1743465600000,6,21.140
2840,洞庭湖湖口,61512000,七里山,1743472800000,5,21.150
2840,洞庭湖湖口,61512000,七里山,1743476400000,6,21.150
2850,洞庭湖湖口,61512000,七里山,1743480000000,5,21.160
2850,洞庭湖湖口,61512000,七里山,1743483600000,6,21.160
2870,洞庭湖湖口,61512000,七里山,1743487200000,5,21.170
2890,洞庭湖湖口,61512000,七里山,1743494400000,5,21.180
2890,洞庭湖湖口,61512000,七里山,1743498000000,6,21.180
2910,洞庭湖湖口,61512000,七里山,1743501600000,5,21.190
2920,洞庭湖湖口,61512000,七里山,1743505200000,5,21.200
2920,洞庭湖湖口,61512000,七里山,1743508800000,6,21.200
2920,洞庭湖湖口,61512000,七里山,1743512400000,6,21.200
2920,洞庭湖湖口,61512000,七里山,1743516000000,6,21.200
2940,洞庭湖湖口,61512000,七里山,1743519600000,5,21.210
2920,洞庭湖湖口,61512000,七里山,1743523200000,4,21.200
2920,洞庭湖湖口,61512000,七里山,1743526800000,6,21.200
2920,洞庭湖湖口,61512000,七里山,1743530400000,6,21.200
2920,洞庭湖湖口,61512000,七里山,1743534000000,6,21.200
2910,洞庭湖湖口,61512000,七里山,1743537600000,4,21.190
2910,洞庭湖湖口,61512000,七里山,1743541200000,6,21.190
2910,洞庭湖湖口,61512000,七里山,1743544800000,6,21.190
2890,洞庭湖湖口,61512000,七里山,1743548400000,4,21.180
2890,洞庭湖湖口,61512000,七里山,1743552000000,6,21.180
2700,洞庭湖湖口,61512000,七里山,1743559200000,4,21.170
2700,洞庭湖湖口,61512000,七里山,1743562800000,6,21.170
2680,洞庭湖湖口,61512000,七里山,1743566400000,4,21.160
2680,洞庭湖湖口,61512000,七里山,1743570000000,6,21.160
2680,洞庭湖湖口,61512000,七里山,1743573600000,6,21.160
2680,洞庭湖湖口,61512000,七里山,1743577200000,6,21.160
2660,洞庭湖湖口,61512000,七里山,1743580800000,4,21.150
2640,洞庭湖湖口,61512000,七里山,1743584400000,4,21.140
2640,洞庭湖湖口,61512000,七里山,1743588000000,6,21.140
2640,洞庭湖湖口,61512000,七里山,1743591600000,6,21.140
2620,洞庭湖湖口,61512000,七里山,1743595200000,4,21.130
2610,洞庭湖湖口,61512000,七里山,1743598800000,4,21.120
2590,洞庭湖湖口,61512000,七里山,1743602400000,4,21.110
2590,洞庭湖湖口,61512000,七里山,1743606000000,6,21.110
2570,洞庭湖湖口,61512000,七里山,1743609600000,4,21.100
2570,洞庭湖湖口,61512000,七里山,1743613200000,6,21.100
2550,洞庭湖湖口,61512000,七里山,1743616800000,4,21.090
2550,洞庭湖湖口,61512000,七里山,1743620400000,6,21.090
2530,洞庭湖湖口,61512000,七里山,1743624000000,4,21.080
2530,洞庭湖湖口,61512000,七里山,1743627600000,6,21.080
2530,洞庭湖湖口,61512000,七里山,1743631200000,6,21.080
2510,洞庭湖湖口,61512000,七里山,1743634800000,4,21.070
2490,洞庭湖湖口,61512000,七里山,1743638400000,4,21.060
2470,洞庭湖湖口,61512000,七里山,1743645600000,6,21.050
2460,洞庭湖湖口,61512000,七里山,1743649200000,4,21.040
2460,洞庭湖湖口,61512000,七里山,1743652800000,6,21.040
2440,洞庭湖湖口,61512000,七里山,1743656400000,4,21.030
2440,洞庭湖湖口,61512000,七里山,1743660000000,6,21.030
2420,洞庭湖湖口,61512000,七里山,1743663600000,4,21.020
0,2730,洞庭湖湖口,61512000,七里山,1743904800000,4,20.65
0,2730,洞庭湖湖口,61512000,七里山,1743908400000,6,20.65
0,2720,洞庭湖湖口,61512000,七里山,1743912000000,4,20.64
0,2710,洞庭湖湖口,61512000,七里山,1743915600000,4,20.63
0,2700,洞庭湖湖口,61512000,七里山,1743919200000,4,20.62
0,2700,洞庭湖湖口,61512000,七里山,1743922800000,6,20.62
0,2690,洞庭湖湖口,61512000,七里山,1743926400000,4,20.61
0,2670,洞庭湖湖口,61512000,七里山,1743930000000,4,20.6
0,2660,洞庭湖湖口,61512000,七里山,1743933600000,4,20.59
0,2650,洞庭湖湖口,61512000,七里山,1743937200000,4,20.58
0,2650,洞庭湖湖口,61512000,七里山,1743940800000,6,20.58
0,2640,洞庭湖湖口,61512000,七里山,1743944400000,4,20.57
0,2630,洞庭湖湖口,61512000,七里山,1743948000000,4,20.56
0,2620,洞庭湖湖口,61512000,七里山,1743951600000,4,20.55
0,2620,洞庭湖湖口,61512000,七里山,1743955200000,6,20.55
0,2610,洞庭湖湖口,61512000,七里山,1743958800000,4,20.54
0,2610,洞庭湖湖口,61512000,七里山,1743962400000,6,20.54
0,2600,洞庭湖湖口,61512000,七里山,1743966000000,4,20.53
0,2590,洞庭湖湖口,61512000,七里山,1743969600000,4,20.52
0,2590,洞庭湖湖口,61512000,七里山,1743973200000,6,20.52
0,2570,洞庭湖湖口,61512000,七里山,1743976800000,4,20.51
0,2560,洞庭湖湖口,61512000,七里山,1743980400000,4,20.5
0,2550,洞庭湖湖口,61512000,七里山,1743984000000,4,20.49
0,2540,洞庭湖湖口,61512000,七里山,1743991200000,4,20.48
0,2530,洞庭湖湖口,61512000,七里山,1743994800000,4,20.47
0,2520,洞庭湖湖口,61512000,七里山,1743998400000,4,20.46
0,2510,洞庭湖湖口,61512000,七里山,1744002000000,4,20.45
0,2510,洞庭湖湖口,61512000,七里山,1744005600000,6,20.45
0,2510,洞庭湖湖口,61512000,七里山,1744009200000,6,20.45
0,2500,洞庭湖湖口,61512000,七里山,1744012800000,4,20.44
0,2700,洞庭湖湖口,61512000,七里山,1744016400000,6,20.44
0,2690,洞庭湖湖口,61512000,七里山,1744020000000,4,20.43
0,2690,洞庭湖湖口,61512000,七里山,1744023600000,4,20.42
0,2690,洞庭湖湖口,61512000,七里山,1744027200000,5,20.43
0,2690,洞庭湖湖口,61512000,七里山,1744030800000,4,20.42
0,2690,洞庭湖湖口,61512000,七里山,1744034400000,6,20.42
0,2680,洞庭湖湖口,61512000,七里山,1744038000000,4,20.41
0,2690,洞庭湖湖口,61512000,七里山,1744041600000,5,20.42
0,2680,洞庭湖湖口,61512000,七里山,1744045200000,4,20.41
0,2680,洞庭湖湖口,61512000,七里山,1744048800000,6,20.41
0,2680,洞庭湖湖口,61512000,七里山,1744052400000,6,20.41
0,2680,洞庭湖湖口,61512000,七里山,1744056000000,6,20.41
0,2680,洞庭湖湖口,61512000,七里山,1744059600000,6,20.41
0,2680,洞庭湖湖口,61512000,七里山,1744063200000,6,20.41
0,2680,洞庭湖湖口,61512000,七里山,1744066800000,6,20.41
0,2680,洞庭湖湖口,61512000,七里山,1744070400000,6,20.41
0,2690,洞庭湖湖口,61512000,七里山,1744077600000,5,20.42
0,2690,洞庭湖湖口,61512000,七里山,1744081200000,6,20.42
0,2690,洞庭湖湖口,61512000,七里山,1744084800000,6,20.42
0,2690,洞庭湖湖口,61512000,七里山,1744088400000,5,20.43
0,2690,洞庭湖湖口,61512000,七里山,1744092000000,6,20.43
0,2690,洞庭湖湖口,61512000,七里山,1744095600000,6,20.43
0,2690,洞庭湖湖口,61512000,七里山,1744099200000,6,20.43
0,2700,洞庭湖湖口,61512000,七里山,1744102800000,5,20.44
0,2700,洞庭湖湖口,61512000,七里山,1744106400000,6,20.44
