oq,rvnm,stcd,stnm,tm,wptn,z
528,汉江,61802700,丹江口水库,1743433200000,6,152.660
528,汉江,61802700,丹江口水库,1743436800000,4,152.650
977,汉江,61802700,丹江口水库,1743440400000,5,152.660
527,716,汉江,61802700,丹江口水库,1743444000000,6,152.660
528,汉江,61802700,丹江口水库,1743447600000,4,152.640
524,汉江,61802700,丹江口水库,1743451200000,6,152.640
523,汉江,61802700,丹江口水库,1743454800000,5,152.650
524,汉江,61802700,丹江口水库,1743458400000,6,152.650
530,汉江,61802700,丹江口水库,1743462000000,6,152.650
529,245,汉江,61802700,丹江口水库,1743465600000,6,152.650
526,汉江,61802700,丹江口水库,1743472800000,4,152.650
775,汉江,61802700,丹江口水库,1743476400000,6,152.650
571,汉江,61802700,丹江口水库,1743480000000,4,152.640
525,汉江,61802700,丹江口水库,1743483600000,6,152.640
734,119,汉江,61802700,丹江口水库,1743487200000,4,152.630
1510,汉江,61802700,丹江口水库,1743490800000,4,152.620
1150,汉江,61802700,丹江口水库,1743494400000,6,152.620
1540,汉江,61802700,丹江口水库,1743498000000,4,152.610
692,汉江,61802700,丹江口水库,1743501600000,5,152.620
916,汉江,61802700,丹江口水库,1743505200000,4,152.600
692,526,汉江,61802700,丹江口水库,1743508800000,5,152.610
687,汉江,61802700,丹江口水库,1743512400000,4,152.600
688,汉江,61802700,丹江口水库,1743516000000,5,152.610
692,汉江,61802700,丹江口水库,1743519600000,5,152.620
778,汉江,61802700,丹江口水库,1743523200000,4,152.610
977,汉江,61802700,丹江口水库,1743526800000,6,152.610
690,770,汉江,61802700,丹江口水库,1743530400000,6,152.610
590,汉江,61802700,丹江口水库,1743534000000,5,152.620
743,汉江,61802700,丹江口水库,1743537600000,4,152.610
530,汉江,61802700,丹江口水库,1743541200000,6,152.610
534,汉江,61802700,丹江口水库,1743544800000,6,152.610
699,汉江,61802700,丹江口水库,1743548400000,4,152.600
841,419,汉江,61802700,丹江口水库,1743552000000,4,152.590
515,汉江,61802700,丹江口水库,1743559200000,4,152.580
640,汉江,61802700,丹江口水库,1743562800000,5,152.590
513,汉江,61802700,丹江口水库,1743566400000,6,152.590
533,汉江,61802700,丹江口水库,1743570000000,4,152.570
732,300,汉江,61802700,丹江口水库,1743573600000,4,152.560
745,汉江,61802700,丹江口水库,1743577200000,5,152.580
704,汉江,61802700,丹江口水库,1743580800000,6,152.580
1000,汉江,61802700,丹江口水库,1743584400000,4,152.570
1010,汉江,61802700,丹江口水库,1743588000000,4,152.560
829,汉江,61802700,丹江口水库,1743591600000,6,152.560
786,928,汉江,61802700,丹江口水库,1743595200000,6,152.560
573,汉江,61802700,丹江口水库,1743598800000,5,152.570
536,汉江,61802700,丹江口水库,1743602400000,4,152.560
532,汉江,61802700,丹江口水库,1743606000000,4,152.550
518,汉江,61802700,丹江口水库,1743609600000,4,152.540
740,汉江,61802700,丹江口水库,1743613200000,5,152.550
594,372,汉江,61802700,丹江口水库,1743616800000,6,152.550
593,汉江,61802700,丹江口水库,1743620400000,4,152.540
591,汉江,61802700,丹江口水库,1743624000000,6,152.540
593,汉江,61802700,丹江口水库,1743627600000,6,152.540
738,汉江,61802700,丹江口水库,1743631200000,5,152.550
775,汉江,61802700,丹江口水库,1743634800000,6,152.550
531,354,汉江,61802700,丹江口水库,1743638400000,4,152.540
