q,rvnm,stcd,stnm,tm,wptn,z
9700,长江干流,60107300,宜昌,1743436800000,4,40.990
9620,长江干流,60107300,宜昌,1743440400000,4,40.980
9680,长江干流,60107300,宜昌,1743444000000,5,40.990
9720,长江干流,60107300,宜昌,1743447600000,5,41.010
9720,长江干流,60107300,宜昌,1743451200000,4,40.990
9840,长江干流,60107300,宜昌,1743454800000,5,41.040
9770,长江干流,60107300,宜昌,1743458400000,4,41.010
9910,长江干流,60107300,宜昌,1743462000000,5,41.060
10100,长江干流,60107300,宜昌,1743465600000,5,41.110
10100,长江干流,60107300,宜昌,1743472800000,4,41.120
9470,长江干流,60107300,宜昌,1743476400000,4,40.950
8850,长江干流,60107300,宜昌,1743480000000,4,40.770
8700,长江干流,60107300,宜昌,1743483600000,4,40.700
8660,长江干流,60107300,宜昌,1743487200000,4,40.650
8680,长江干流,60107300,宜昌,1743490800000,4,40.620
8960,长江干流,60107300,宜昌,1743494400000,5,40.710
9700,长江干流,60107300,宜昌,1743498000000,5,40.910
9460,长江干流,60107300,宜昌,1743501600000,4,40.840
9330,长江干流,60107300,宜昌,1743505200000,4,40.830
9210,长江干流,60107300,宜昌,1743508800000,4,40.800
9530,长江干流,60107300,宜昌,1743512400000,5,40.900
9980,长江干流,60107300,宜昌,1743516000000,5,41.030
10100,长江干流,60107300,宜昌,1743519600000,5,41.080
10300,长江干流,60107300,宜昌,1743523200000,5,41.150
9550,长江干流,60107300,宜昌,1743526800000,4,40.930
8770,长江干流,60107300,宜昌,1743530400000,4,40.740
8540,长江干流,60107300,宜昌,1743534000000,4,40.640
8570,长江干流,60107300,宜昌,1743537600000,4,40.600
8520,长江干流,60107300,宜昌,1743541200000,4,40.570
8440,长江干流,60107300,宜昌,1743544800000,4,40.520
8370,长江干流,60107300,宜昌,1743548400000,4,40.490
8460,长江干流,60107300,宜昌,1743552000000,5,40.510
8630,长江干流,60107300,宜昌,1743559200000,4,40.530
8560,长江干流,60107300,宜昌,1743562800000,6,40.530
8600,长江干流,60107300,宜昌,1743566400000,5,40.540
8550,长江干流,60107300,宜昌,1743570000000,4,40.500
8480,长江干流,60107300,宜昌,1743573600000,4,40.490
8410,长江干流,60107300,宜昌,1743577200000,4,40.470
8930,长江干流,60107300,宜昌,1743580800000,5,40.630
9320,长江干流,60107300,宜昌,1743584400000,5,40.730
9580,长江干流,60107300,宜昌,1743588000000,5,40.820
9720,长江干流,60107300,宜昌,1743591600000,5,40.910
9820,长江干流,60107300,宜昌,1743595200000,5,40.940
9760,长江干流,60107300,宜昌,1743598800000,5,40.960
9820,长江干流,60107300,宜昌,1743602400000,5,40.990
8900,长江干流,60107300,宜昌,1743606000000,4,40.710
8540,长江干流,60107300,宜昌,1743609600000,4,40.620
8470,长江干流,60107300,宜昌,1743613200000,4,40.560
8450,长江干流,60107300,宜昌,1743616800000,4,40.540
8440,长江干流,60107300,宜昌,1743620400000,4,40.500
8400,长江干流,60107300,宜昌,1743624000000,4,40.480
8380,长江干流,60107300,宜昌,1743627600000,4,40.470
8390,长江干流,60107300,宜昌,1743631200000,4,40.460
8410,长江干流,60107300,宜昌,1743634800000,6,40.460
8600,长江干流,60107300,宜昌,1743638400000,5,40.520
8520,长江干流,60107300,宜昌,1743645600000,4,40.500
8660,长江干流,60107300,宜昌,1743649200000,5,40.540
8600,长江干流,60107300,宜昌,1743652800000,4,40.520
8600,长江干流,60107300,宜昌,1743656400000,6,40.520
8570,长江干流,60107300,宜昌,1743660000000,4,40.510
8650,长江干流,60107300,宜昌,1743663600000,5,40.538
0,7470,长江干流,60107300,宜昌,1743901200000,6,40.02
0,7400,长江干流,60107300,宜昌,1743908400000,4,39.99
0,7350,长江干流,60107300,宜昌,1743912000000,4,39.97
0,7350,长江干流,60107300,宜昌,1743919200000,4,39.95
0,7350,长江干流,60107300,宜昌,1743922800000,5,39.96
0,7480,长江干流,60107300,宜昌,1743926400000,5,39.99
0,8310,长江干流,60107300,宜昌,1743930000000,5,40.28
0,8970,长江干流,60107300,宜昌,1743933600000,5,40.5
0,9190,长江干流,60107300,宜昌,1743937200000,5,40.59
0,9260,长江干流,60107300,宜昌,1743940800000,5,40.65
0,9340,长江干流,60107300,宜昌,1743944400000,5,40.71
0,9490,长江干流,60107300,宜昌,1743948000000,5,40.78
0,9390,长江干流,60107300,宜昌,1743951600000,4,40.77
0,9150,长江干流,60107300,宜昌,1743955200000,4,40.72
0,9520,长江干流,60107300,宜昌,1743958800000,5,40.84
0,9570,长江干流,60107300,宜昌,1743962400000,5,40.86
0,9640,长江干流,60107300,宜昌,1743966000000,5,40.89
0,9700,长江干流,60107300,宜昌,1743969600000,5,40.92
