q,rvnm,stcd,stnm,tm,wptn,z
16100,长江干流,60115000,大通,1743436800000,4,5.550
16100,长江干流,60115000,大通,1743440400000,4,5.530
15500,长江干流,60115000,大通,1743444000000,5,5.610
14800,长江干流,60115000,大通,1743447600000,5,5.710
14600,长江干流,60115000,大通,1743451200000,5,5.760
15000,长江干流,60115000,大通,1743454800000,4,5.750
15300,长江干流,60115000,大通,1743458400000,4,5.730
15500,长江干流,60115000,大通,1743462000000,4,5.710
15700,长江干流,60115000,大通,1743465600000,4,5.690
15900,长江干流,60115000,大通,1743472800000,4,5.640
16100,长江干流,60115000,大通,1743476400000,4,5.600
16200,长江干流,60115000,大通,1743480000000,4,5.570
16200,长江干流,60115000,大通,1743483600000,4,5.540
15800,长江干流,60115000,大通,1743487200000,5,5.590
14900,长江干流,60115000,大通,1743490800000,5,5.720
14500,长江干流,60115000,大通,1743494400000,5,5.790
14800,长江干流,60115000,大通,1743498000000,5,5.800
15300,长江干流,60115000,大通,1743501600000,4,5.780
15500,长江干流,60115000,大通,1743505200000,4,5.760
15600,长江干流,60115000,大通,1743508800000,4,5.740
15800,长江干流,60115000,大通,1743512400000,4,5.710
16000,长江干流,60115000,大通,1743516000000,4,5.680
16100,长江干流,60115000,大通,1743519600000,4,5.650
16200,长江干流,60115000,大通,1743523200000,4,5.620
16300,长江干流,60115000,大通,1743526800000,4,5.580
16200,长江干流,60115000,大通,1743530400000,6,5.580
15600,长江干流,60115000,大通,1743534000000,5,5.670
15100,长江干流,60115000,大通,1743537600000,5,5.730
15100,长江干流,60115000,大通,1743541200000,5,5.760
15500,长江干流,60115000,大通,1743544800000,4,5.740
15700,长江干流,60115000,大通,1743548400000,4,5.720
15800,长江干流,60115000,大通,1743552000000,4,5.700
16100,长江干流,60115000,大通,1743559200000,4,5.650
16200,长江干流,60115000,大通,1743562800000,4,5.620
16300,长江干流,60115000,大通,1743566400000,4,5.590
16300,长江干流,60115000,大通,1743570000000,4,5.560
16400,长江干流,60115000,大通,1743573600000,4,5.540
15600,长江干流,60115000,大通,1743577200000,5,5.650
14800,长江干流,60115000,大通,1743580800000,5,5.750
15200,长江干流,60115000,大通,1743588000000,4,5.780
15500,长江干流,60115000,大通,1743591600000,4,5.760
15600,长江干流,60115000,大通,1743595200000,4,5.740
15700,长江干流,60115000,大通,1743598800000,4,5.720
15800,长江干流,60115000,大通,1743602400000,4,5.700
15900,长江干流,60115000,大通,1743606000000,4,5.670
16000,长江干流,60115000,大通,1743609600000,4,5.640
16100,长江干流,60115000,大通,1743613200000,4,5.610
16100,长江干流,60115000,大通,1743616800000,4,5.580
15900,长江干流,60115000,大通,1743620400000,5,5.590
15500,长江干流,60115000,大通,1743624000000,5,5.650
15200,长江干流,60115000,大通,1743627600000,5,5.680
15300,长江干流,60115000,大通,1743631200000,6,5.680
15500,长江干流,60115000,大通,1743634800000,4,5.660
15600,长江干流,60115000,大通,1743638400000,4,5.650
15800,长江干流,60115000,大通,1743645600000,4,5.590
15900,长江干流,60115000,大通,1743649200000,4,5.560
15900,长江干流,60115000,大通,1743652800000,4,5.540
16000,长江干流,60115000,大通,1743656400000,4,5.510
16000,长江干流,60115000,大通,1743660000000,4,5.480
15700,长江干流,60115000,大通,1743663600000,5,5.510
0,14800,长江干流,60115000,大通,1743904800000,4,5.13
0,14900,长江干流,60115000,大通,1743908400000,4,5.11
0,14900,长江干流,60115000,大通,1743912000000,4,5.09
0,14900,长江干流,60115000,大通,1743915600000,4,5.08
0,14900,长江干流,60115000,大通,1743919200000,4,5.06
0,0,长江干流,60115000,大通,1743922800000,4,5.05
0,14900,长江干流,60115000,大通,1743926400000,4,5.03
0,14800,长江干流,60115000,大通,1743930000000,6,5.03
0,14600,长江干流,60115000,大通,1743933600000,5,5.06
0,14300,长江干流,60115000,大通,1743937200000,5,5.11
0,14100,长江干流,60115000,大通,1743940800000,5,5.16
0,14000,长江干流,60115000,大通,1743944400000,5,5.18
0,14200,长江干流,60115000,大通,1743948000000,4,5.17
0,14300,长江干流,60115000,大通,1743951600000,6,5.17
0,0,长江干流,60115000,大通,1743955200000,4,5.16
0,14400,长江干流,60115000,大通,1743958800000,4,5.14
0,14500,长江干流,60115000,大通,1743962400000,4,5.13
0,14600,长江干流,60115000,大通,1743966000000,4,5.1
0,14600,长江干流,60115000,大通,1743969600000,4,5.08
0,14700,长江干流,60115000,大通,1743973200000,4,5.06
0,14700,长江干流,60115000,大通,1743976800000,4,5.04
0,14700,长江干流,60115000,大通,1743980400000,4,5.02
0,14600,长江干流,60115000,大通,1743984000000,4,5.01
0,14500,长江干流,60115000,大通,1743991200000,6,5
0,14500,长江干流,60115000,大通,1743994800000,4,4.99
0,14500,长江干流,60115000,大通,1743998400000,4,4.98
0,14500,长江干流,60115000,大通,1744002000000,4,4.97
0,14500,长江干流,60115000,大通,1744005600000,4,4.95
0,14500,长江干流,60115000,大通,1744009200000,4,4.94
0,14500,长江干流,60115000,大通,1744012800000,4,4.92
0,14500,长江干流,60115000,大通,1744016400000,4,4.91
0,14500,长江干流,60115000,大通,1744020000000,4,4.89
0,14400,长江干流,60115000,大通,1744023600000,6,4.89
0,14300,长江干流,60115000,大通,1744027200000,5,4.9
0,14100,长江干流,60115000,大通,1744030800000,5,4.93
0,13900,长江干流,60115000,大通,1744034400000,5,4.97
0,13800,长江干流,60115000,大通,1744038000000,5,4.99
0,13900,长江干流,60115000,大通,1744041600000,6,4.99
0,0,长江干流,60115000,大通,1744045200000,4,4.98
0,14000,长江干流,60115000,大通,1744048800000,4,4.97
0,14100,长江干流,60115000,大通,1744052400000,4,4.95
0,14100,长江干流,60115000,大通,1744056000000,4,4.94
0,14100,长江干流,60115000,大通,1744059600000,4,4.92
0,14200,长江干流,60115000,大通,1744063200000,4,4.9
0,14200,长江干流,60115000,大通,1744066800000,4,4.88
0,14300,长江干流,60115000,大通,1744070400000,4,4.85
0,14200,长江干流,60115000,大通,1744077600000,4,4.83
0,14000,长江干流,60115000,大通,1744081200000,5,4.85
0,13900,长江干流,60115000,大通,1744084800000,5,4.86
0,13900,长江干流,60115000,大通,1744088400000,6,4.86
0,13900,长江干流,60115000,大通,1744092000000,4,4.85
0,13900,长江干流,60115000,大通,1744095600000,6,4.85
0,14000,长江干流,60115000,大通,1744099200000,4,4.83
0,14000,长江干流,60115000,大通,1744102800000,4,4.82
0,14000,长江干流,60115000,大通,1744106400000,4,4.8
