rvnm,stcd,stnm,tm,wptn,z
汉江,61802500,龙王庙,1743436800000,4,152.650
汉江,61802500,龙王庙,1743440400000,5,152.660
汉江,61802500,龙王庙,1743444000000,6,152.660
汉江,61802500,龙王庙,1743447600000,4,152.640
汉江,61802500,龙王庙,1743451200000,6,152.640
汉江,61802500,龙王庙,1743454800000,5,152.650
汉江,61802500,龙王庙,1743458400000,6,152.650
汉江,61802500,龙王庙,1743462000000,6,152.650
汉江,61802500,龙王庙,1743465600000,6,152.650
汉江,61802500,龙王庙,1743472800000,4,152.650
汉江,61802500,龙王庙,1743476400000,6,152.650
汉江,61802500,龙王庙,1743480000000,4,152.640
汉江,61802500,龙王庙,1743483600000,6,152.640
汉江,61802500,龙王庙,1743487200000,4,152.630
汉江,61802500,龙王庙,1743490800000,4,152.620
汉江,61802500,龙王庙,1743494400000,6,152.620
汉江,61802500,龙王庙,1743498000000,4,152.610
汉江,61802500,龙王庙,1743501600000,5,152.620
汉江,61802500,龙王庙,1743505200000,4,152.600
汉江,61802500,龙王庙,1743508800000,5,152.610
汉江,61802500,龙王庙,1743512400000,4,152.600
汉江,61802500,龙王庙,1743516000000,5,152.610
汉江,61802500,龙王庙,1743519600000,5,152.620
汉江,61802500,龙王庙,1743523200000,4,152.610
汉江,61802500,龙王庙,1743526800000,6,152.610
汉江,61802500,龙王庙,1743530400000,6,152.610
汉江,61802500,龙王庙,1743534000000,5,152.620
汉江,61802500,龙王庙,1743537600000,4,152.610
汉江,61802500,龙王庙,1743541200000,6,152.610
汉江,61802500,龙王庙,1743544800000,6,152.610
汉江,61802500,龙王庙,1743548400000,4,152.600
汉江,61802500,龙王庙,1743552000000,4,152.590
汉江,61802500,龙王庙,1743559200000,4,152.580
汉江,61802500,龙王庙,1743562800000,5,152.590
汉江,61802500,龙王庙,1743566400000,6,152.590
汉江,61802500,龙王庙,1743570000000,4,152.570
汉江,61802500,龙王庙,1743573600000,4,152.560
汉江,61802500,龙王庙,1743577200000,5,152.580
汉江,61802500,龙王庙,1743580800000,6,152.580
汉江,61802500,龙王庙,1743584400000,4,152.570
汉江,61802500,龙王庙,1743588000000,4,152.560
汉江,61802500,龙王庙,1743591600000,6,152.560
汉江,61802500,龙王庙,1743595200000,6,152.560
汉江,61802500,龙王庙,1743598800000,5,152.570
汉江,61802500,龙王庙,1743602400000,4,152.560
汉江,61802500,龙王庙,1743606000000,4,152.550
汉江,61802500,龙王庙,1743609600000,4,152.540
汉江,61802500,龙王庙,1743613200000,5,152.550
汉江,61802500,龙王庙,1743616800000,6,152.550
汉江,61802500,龙王庙,1743620400000,4,152.540
汉江,61802500,龙王庙,1743624000000,6,152.540
汉江,61802500,龙王庙,1743627600000,6,152.540
汉江,61802500,龙王庙,1743631200000,5,152.550
汉江,61802500,龙王庙,1743634800000,6,152.550
汉江,61802500,龙王庙,1743638400000,4,152.540
汉江,61802500,龙王庙,1743645600000,6,152.530
汉江,61802500,龙王庙,1743649200000,6,152.530
汉江,61802500,龙王庙,1743652800000,6,152.530
汉江,61802500,龙王庙,1743656400000,6,152.530
汉江,61802500,龙王庙,1743660000000,6,152.530
汉江,61802500,龙王庙,1743663600000,4,152.510
0,0,汉江,61802500,龙王庙,1743901200000,4,152.37
0,0,汉江,61802500,龙王庙,1743904800000,6,152.37
0,0,汉江,61802500,龙王庙,1743908400000,6,152.37
0,0,汉江,61802500,龙王庙,1743912000000,4,152.36
0,0,汉江,61802500,龙王庙,1743915600000,4,152.35
0,0,汉江,61802500,龙王庙,1743919200000,6,152.35
0,0,汉江,61802500,龙王庙,1743922800000,4,152.34
0,0,汉江,61802500,龙王庙,1743926400000,6,152.34
0,0,汉江,61802500,龙王庙,1743930000000,5,152.35
0,0,汉江,61802500,龙王庙,1743933600000,4,152.34
0,0,汉江,61802500,龙王庙,1743937200000,6,152.34
0,0,汉江,61802500,龙王庙,1743940800000,6,152.34
0,0,汉江,61802500,龙王庙,1743944400000,6,152.34
0,0,汉江,61802500,龙王庙,1743948000000,4,152.33
0,0,汉江,61802500,龙王庙,1743951600000,5,152.34
0,0,汉江,61802500,龙王庙,1743955200000,6,152.34
0,0,汉江,61802500,龙王庙,1743958800000,4,152.33
0,0,汉江,61802500,龙王庙,1743962400000,5,152.34
0,0,汉江,61802500,龙王庙,1743966000000,4,152.33
0,0,汉江,61802500,龙王庙,1743969600000,6,152.33
0,0,汉江,61802500,龙王庙,1743973200000,4,152.32
0,0,汉江,61802500,龙王庙,1743976800000,6,152.32
0,0,汉江,61802500,龙王庙,1743980400000,6,152.32
0,0,汉江,61802500,龙王庙,1743984000000,6,152.32
0,0,汉江,61802500,龙王庙,1743991200000,5,152.32
0,0,汉江,61802500,龙王庙,1743994800000,4,152.31
0,0,汉江,61802500,龙王庙,1743998400000,5,152.32
0,0,汉江,61802500,龙王庙,1744002000000,4,152.31
0,0,汉江,61802500,龙王庙,1744005600000,6,152.31
0,0,汉江,61802500,龙王庙,1744009200000,6,152.31
0,0,汉江,61802500,龙王庙,1744012800000,4,152.3
0,0,汉江,61802500,龙王庙,1744016400000,6,152.3
0,0,汉江,61802500,龙王庙,1744020000000,4,152.29
0,0,汉江,61802500,龙王庙,1744023600000,5,152.3
0,0,汉江,61802500,龙王庙,1744027200000,4,152.29
0,0,汉江,61802500,龙王庙,1744030800000,6,152.29
0,0,汉江,61802500,龙王庙,1744034400000,6,152.29
0,0,汉江,61802500,龙王庙,1744038000000,6,152.29
0,0,汉江,61802500,龙王庙,1744041600000,5,152.3
0,0,汉江,61802500,龙王庙,1744045200000,6,152.3
0,0,汉江,61802500,龙王庙,1744048800000,6,152.3
0,0,汉江,61802500,龙王庙,1744052400000,4,152.29
0,0,汉江,61802500,龙王庙,1744056000000,6,152.29
0,0,汉江,61802500,龙王庙,1744059600000,6,152.29
0,0,汉江,61802500,龙王庙,1744063200000,6,152.29
0,0,汉江,61802500,龙王庙,1744066800000,5,152.3
0,0,汉江,61802500,龙王庙,1744070400000,6,152.3
0,0,汉江,61802500,龙王庙,1744077600000,6,152.29
0,0,汉江,61802500,龙王庙,1744092000000,4,152.28
0,0,汉江,61802500,龙王庙,1744095600000,5,152.29
0,0,汉江,61802500,龙王庙,1744099200000,6,152.29
0,0,汉江,61802500,龙王庙,1744102800000,4,152.28
0,0,汉江,61802500,龙王庙,1744106400000,4,152.27
