oq,q,rvnm,stcd,stnm,tm,wptn,z
0,16000,长江干流,60108300,沙市,1756656000000,5,35
0,16100,长江干流,60108300,沙市,1756659600000,6,35
0,16200,长江干流,60108300,沙市,1756663200000,5,35.02
0,16300,长江干流,60108300,沙市,1756666800000,5,35.05
0,16400,长江干流,60108300,沙市,1756670400000,5,35.08
0,16500,长江干流,60108300,沙市,1756674000000,5,35.09
0,16500,长江干流,60108300,沙市,1756677600000,5,35.11
0,16600,长江干流,60108300,沙市,1756681200000,5,35.12
0,16500,长江干流,60108300,沙市,1756688400000,5,35.14
0,16500,长江干流,60108300,沙市,1756692000000,5,35.15
0,16600,长江干流,60108300,沙市,1756695600000,4,35.14
0,16500,长江干流,60108300,沙市,1756699200000,5,35.15
0,16400,长江干流,60108300,沙市,1756702800000,4,35.14
0,16500,长江干流,60108300,沙市,1756706400000,5,35.15
0,16400,长江干流,60108300,沙市,1756710000000,4,35.14
0,16400,长江干流,60108300,沙市,1756713600000,6,35.14
0,16300,长江干流,60108300,沙市,1756717200000,4,35.13
0,16200,长江干流,60108300,沙市,1756720800000,4,35.11
0,16200,长江干流,60108300,沙市,1756724400000,4,35.1
0,16100,长江干流,60108300,沙市,1756728000000,4,35.09
0,16000,长江干流,60108300,沙市,1756731600000,4,35.07
0,16100,长江干流,60108300,沙市,1756735200000,4,35.06
0,16000,长江干流,60108300,沙市,1756738800000,4,35.05
0,16100,长江干流,60108300,沙市,1756742400000,5,35.06
0,16100,长江干流,60108300,沙市,1756746000000,5,35.07
0,16300,长江干流,60108300,沙市,1756749600000,5,35.08
0,16300,长江干流,60108300,沙市,1756753200000,5,35.09
0,16400,长江干流,60108300,沙市,1756756800000,5,35.12
0,16500,长江干流,60108300,沙市,1756760400000,5,35.13
0,16500,长江干流,60108300,沙市,1756764000000,5,35.14
0,16600,长江干流,60108300,沙市,1756767600000,5,35.16
0,16600,长江干流,60108300,沙市,1756771200000,6,35.16
0,16600,长江干流,60108300,沙市,1756778400000,5,35.18
0,16700,长江干流,60108300,沙市,1756782000000,5,35.19
0,16700,长江干流,60108300,沙市,1756785600000,5,35.2
0,16700,长江干流,60108300,沙市,1756789200000,5,35.21
0,16700,长江干流,60108300,沙市,1756792800000,5,35.22
0,16700,长江干流,60108300,沙市,1756796400000,6,35.22
0,16700,长江干流,60108300,沙市,1756800000000,5,35.23
0,16700,长江干流,60108300,沙市,1756803600000,6,35.23
0,16600,长江干流,60108300,沙市,1756807200000,4,35.21
0,16500,长江干流,60108300,沙市,1756810800000,4,35.19
0,16400,长江干流,60108300,沙市,1756814400000,4,35.18
0,16300,长江干流,60108300,沙市,1756818000000,4,35.17
0,16300,长江干流,60108300,沙市,1756821600000,4,35.15
0,16200,长江干流,60108300,沙市,1756825200000,4,35.14
0,16300,长江干流,60108300,沙市,1756828800000,5,35.15
0,16400,长江干流,60108300,沙市,1756832400000,5,35.16
0,16500,长江干流,60108300,沙市,1756836000000,5,35.17
0,16500,长江干流,60108300,沙市,1756839600000,5,35.18
0,16600,长江干流,60108300,沙市,1756843200000,5,35.19
0,16700,长江干流,60108300,沙市,1756846800000,5,35.21
0,16700,长江干流,60108300,沙市,1756850400000,5,35.22
0,16700,长江干流,60108300,沙市,1756854000000,5,35.23
0,16700,长江干流,60108300,沙市,1756857600000,5,35.24
0,16700,长江干流,60108300,沙市,1756864800000,6,35.24
0,16700,长江干流,60108300,沙市,1756868400000,5,35.25
0,16700,长江干流,60108300,沙市,1756872000000,6,35.25
0,16700,长江干流,60108300,沙市,1756875600000,5,35.26
0,16700,长江干流,60108300,沙市,1756879200000,6,35.26
0,16700,长江干流,60108300,沙市,1756882800000,5,35.27
0,16600,长江干流,60108300,沙市,1756886400000,4,35.26
0,16700,长江干流,60108300,沙市,1756890000000,4,35.25
0,16600,长江干流,60108300,沙市,1756893600000,4,35.24
0,16500,长江干流,60108300,沙市,1756897200000,4,35.22
0,16300,长江干流,60108300,沙市,1756900800000,4,35.2
0,16400,长江干流,60108300,沙市,1756904400000,4,35.19
0,16400,长江干流,60108300,沙市,1756908000000,6,35.19
0,16400,长江干流,60108300,沙市,1756911600000,6,35.19
0,16500,长江干流,60108300,沙市,1756915200000,5,35.2
0,16600,长江干流,60108300,沙市,1756918800000,5,35.22
0,16600,长江干流,60108300,沙市,1756922400000,4,35.21
0,16700,长江干流,60108300,沙市,1756926000000,5,35.24
0,16800,长江干流,60108300,沙市,1756929600000,5,35.26
0,16900,长江干流,60108300,沙市,1756933200000,5,35.28
0,16900,长江干流,60108300,沙市,1756936800000,5,35.29
0,16900,长江干流,60108300,沙市,1756940400000,5,35.31
0,17100,长江干流,60108300,沙市,1756944000000,5,35.33
0,17300,长江干流,60108300,沙市,1756951200000,5,35.38
0,17300,长江干流,60108300,沙市,1756954800000,5,35.4
0,17300,长江干流,60108300,沙市,1756958400000,5,35.42
0,17300,长江干流,60108300,沙市,1756962000000,5,35.44
0,17300,长江干流,60108300,沙市,1756965600000,5,35.45
0,17300,长江干流,60108300,沙市,1756969200000,5,35.46
0,17300,长江干流,60108300,沙市,1756972800000,5,35.47
