oq,q,rvnm,stcd,stnm,tm,wptn,z
0,22200,长江干流,60105400,寸滩,1756656000000,4,171.75
0,22100,长江干流,60105400,寸滩,1756659600000,4,171.69
0,21700,长江干流,60105400,寸滩,1756663200000,4,171.58
0,21600,长江干流,60105400,寸滩,1756666800000,4,171.54
0,21400,长江干流,60105400,寸滩,1756670400000,4,171.46
0,21200,长江干流,60105400,寸滩,1756674000000,4,171.41
0,21000,长江干流,60105400,寸滩,1756677600000,4,171.34
0,20900,长江干流,60105400,寸滩,1756681200000,4,171.3
0,20300,长江干流,60105400,寸滩,1756688400000,4,171.09
0,20000,长江干流,60105400,寸滩,1756692000000,4,170.99
0,19700,长江干流,60105400,寸滩,1756695600000,4,170.89
0,19400,长江干流,60105400,寸滩,1756699200000,4,170.78
0,19200,长江干流,60105400,寸滩,1756702800000,4,170.66
0,18800,长江干流,60105400,寸滩,1756706400000,4,170.54
0,18600,长江干流,60105400,寸滩,1756710000000,4,170.43
0,18300,长江干流,60105400,寸滩,1756713600000,4,170.33
0,18100,长江干流,60105400,寸滩,1756717200000,4,170.22
0,17800,长江干流,60105400,寸滩,1756720800000,4,170.13
0,17600,长江干流,60105400,寸滩,1756724400000,4,170.05
0,17400,长江干流,60105400,寸滩,1756728000000,4,169.96
0,17300,长江干流,60105400,寸滩,1756731600000,4,169.91
0,17100,长江干流,60105400,寸滩,1756735200000,4,169.83
0,16900,长江干流,60105400,寸滩,1756738800000,4,169.77
0,16800,长江干流,60105400,寸滩,1756742400000,4,169.72
0,16700,长江干流,60105400,寸滩,1756746000000,4,169.68
0,16600,长江干流,60105400,寸滩,1756749600000,4,169.64
0,16500,长江干流,60105400,寸滩,1756753200000,4,169.58
0,16300,长江干流,60105400,寸滩,1756756800000,4,169.54
0,16200,长江干流,60105400,寸滩,1756760400000,4,169.49
0,16100,长江干流,60105400,寸滩,1756764000000,4,169.44
0,15900,长江干流,60105400,寸滩,1756767600000,4,169.37
0,15600,长江干流,60105400,寸滩,1756773240000,4,169.26
0,15500,长江干流,60105400,寸滩,1756778400000,4,169.2
0,15400,长江干流,60105400,寸滩,1756782000000,4,169.15
0,15300,长江干流,60105400,寸滩,1756785600000,4,169.12
0,15200,长江干流,60105400,寸滩,1756789200000,4,169.09
0,15100,长江干流,60105400,寸滩,1756792800000,4,169.05
0,15100,长江干流,60105400,寸滩,1756796400000,4,169.02
0,15000,长江干流,60105400,寸滩,1756800000000,4,169
0,14900,长江干流,60105400,寸滩,1756803600000,4,168.96
0,14900,长江干流,60105400,寸滩,1756807200000,4,168.93
0,14800,长江干流,60105400,寸滩,1756810800000,4,168.92
0,14800,长江干流,60105400,寸滩,1756814400000,4,168.89
0,14700,长江干流,60105400,寸滩,1756818000000,4,168.87
0,14800,长江干流,60105400,寸滩,1756825200000,5,168.88
0,14800,长江干流,60105400,寸滩,1756828800000,5,168.9
0,14800,长江干流,60105400,寸滩,1756832400000,5,168.92
0,14900,长江干流,60105400,寸滩,1756836000000,5,168.96
0,15000,长江干流,60105400,寸滩,1756839600000,5,169
0,15100,长江干流,60105400,寸滩,1756843200000,5,169.02
0,15100,长江干流,60105400,寸滩,1756846800000,6,169.02
0,14900,长江干流,60105400,寸滩,1756854000000,4,168.95
0,14900,长江干流,60105400,寸滩,1756857600000,4,168.93
0,14700,长江干流,60105400,寸滩,1756864800000,4,168.84
0,14600,长江干流,60105400,寸滩,1756868400000,4,168.78
0,14500,长江干流,60105400,寸滩,1756872000000,4,168.74
0,14400,长江干流,60105400,寸滩,1756875600000,4,168.7
0,14300,长江干流,60105400,寸滩,1756879200000,4,168.64
0,14200,长江干流,60105400,寸滩,1756882800000,4,168.62
0,14200,长江干流,60105400,寸滩,1756886400000,4,168.61
0,14200,长江干流,60105400,寸滩,1756890000000,6,168.61
0,14200,长江干流,60105400,寸滩,1756893600000,5,168.62
0,14400,长江干流,60105400,寸滩,1756900800000,5,168.7
0,14600,长江干流,60105400,寸滩,1756904400000,5,168.79
0,14700,长江干流,60105400,寸滩,1756908000000,5,168.85
0,14900,长江干流,60105400,寸滩,1756911600000,5,168.94
0,15000,长江干流,60105400,寸滩,1756915200000,5,168.98
0,15100,长江干流,60105400,寸滩,1756918800000,5,169.05
0,15200,长江干流,60105400,寸滩,1756922400000,5,169.07
0,15200,长江干流,60105400,寸滩,1756926000000,5,169.08
0,15200,长江干流,60105400,寸滩,1756929600000,6,169.08
0,15200,长江干流,60105400,寸滩,1756933200000,4,169.07
0,15100,长江干流,60105400,寸滩,1756936800000,4,169.05
0,15100,长江干流,60105400,寸滩,1756940400000,4,169.02
0,15000,长江干流,60105400,寸滩,1756944000000,4,169.01
0,15000,长江干流,60105400,寸滩,1756951200000,5,168.98
0,14900,长江干流,60105400,寸滩,1756954800000,4,168.96
0,14900,长江干流,60105400,寸滩,1756958400000,4,168.95
0,14900,长江干流,60105400,寸滩,1756962000000,4,168.93
0,14900,长江干流,60105400,寸滩,1756965600000,6,168.93
0,14900,长江干流,60105400,寸滩,1756969200000,5,168.95
0,14900,长江干流,60105400,寸滩,1756972800000,6,168.95
0,15000,长江干流,60105400,寸滩,1756976400000,5,168.98
0,15100,长江干流,60105400,寸滩,1756980000000,5,169.03
0,15100,长江干流,60105400,寸滩,1756983600000,5,169.05
0,15200,长江干流,60105400,寸滩,1756987200000,5,169.09
0,15300,长江干流,60105400,寸滩,1756990800000,5,169.1
0,15300,长江干流,60105400,寸滩,1756994400000,5,169.12
0,15300,长江干流,60105400,寸滩,1756998000000,5,169.13
0,15300,长江干流,60105400,寸滩,1757001600000,5,169.14
0,15400,长江干流,60105400,寸滩,1757005200000,5,169.16
0,15400,长江干流,60105400,寸滩,1757008800000,6,169.16
0,15300,长江干流,60105400,寸滩,1757012400000,4,169.14
0,15300,长江干流,60105400,寸滩,1757016000000,4,169.11
0,15200,长江干流,60105400,寸滩,1757019600000,4,169.07
0,15100,长江干流,60105400,寸滩,1757023200000,4,169.05
0,15100,长江干流,60105400,寸滩,1757026800000,4,169.02
0,15000,长江干流,60105400,寸滩,1757030400000,4,168.99
0,14800,长江干流,60105400,寸滩,1757037600000,4,168.91
0,14800,长江干流,60105400,寸滩,1757041200000,4,168.88
0,14700,长江干流,60105400,寸滩,1757044800000,4,168.86
0,14700,长江干流,60105400,寸滩,1757048400000,4,168.85
0,14700,长江干流,60105400,寸滩,1757052000000,6,168.85
0,14700,长江干流,60105400,寸滩,1757055600000,6,168.85
0,14800,长江干流,60105400,寸滩,1757059200000,5,168.88
0,14800,长江干流,60105400,寸滩,1757062800000,5,168.89
0,14900,长江干流,60105400,寸滩,1757066400000,5,168.93
0,14900,长江干流,60105400,寸滩,1757070000000,5,168.95
0,16300,长江干流,60105400,寸滩,1757073600000,5,168.99
0,16400,长江干流,60105400,寸滩,1757077200000,5,169.04
0,16600,长江干流,60105400,寸滩,1757080800000,5,169.1
0,16700,长江干流,60105400,寸滩,1757084400000,5,169.14
0,16800,长江干流,60105400,寸滩,1757088000000,5,169.19
0,17000,长江干流,60105400,寸滩,1757091600000,5,169.25
0,17300,长江干流,60105400,寸滩,1757095200000,5,169.36
0,17400,长江干流,60105400,寸滩,1757098800000,5,169.42
0,17600,长江干流,60105400,寸滩,1757102400000,5,169.49
0,17800,长江干流,60105400,寸滩,1757106000000,5,169.55
0,17900,长江干流,60105400,寸滩,1757109600000,5,169.6
0,18200,长江干流,60105400,寸滩,1757113200000,5,169.69
0,18000,长江干流,60105400,寸滩,1757117760000,5,169.82
0,19100,长江干流,60105400,寸滩,1757124000000,5,170.02
0,19400,长江干流,60105400,寸滩,1757127600000,5,170.17
0,19800,长江干流,60105400,寸滩,1757131200000,5,170.3
0,20000,长江干流,60105400,寸滩,1757134800000,5,170.4
0,20300,长江干流,60105400,寸滩,1757138400000,5,170.52
0,20600,长江干流,60105400,寸滩,1757142000000,5,170.63
0,20700,长江干流,60105400,寸滩,1757145600000,5,170.68
0,21000,长江干流,60105400,寸滩,1757149200000,5,170.79
0,21200,长江干流,60105400,寸滩,1757152800000,5,170.87
0,21500,长江干流,60105400,寸滩,1757156400000,5,171
0,21800,长江干流,60105400,寸滩,1757160000000,5,171.11
0,22100,长江干流,60105400,寸滩,1757163600000,5,171.22
0,22300,长江干流,60105400,寸滩,1757167200000,5,171.31
0,22500,长江干流,60105400,寸滩,1757170800000,5,171.4
0,22800,长江干流,60105400,寸滩,1757174400000,5,171.51
0,22900,长江干流,60105400,寸滩,1757178000000,5,171.56
0,23100,长江干流,60105400,寸滩,1757181600000,5,171.64
0,23300,长江干流,60105400,寸滩,1757185200000,5,171.72
0,23500,长江干流,60105400,寸滩,1757188800000,5,171.79
0,23700,长江干流,60105400,寸滩,1757192400000,5,171.86
0,23900,长江干流,60105400,寸滩,1757196000000,5,171.98
0,24100,长江干流,60105400,寸滩,1757199600000,5,172.03
0,23900,长江干流,60105400,寸滩,1757203320000,5,172.13
0,24600,长江干流,60105400,寸滩,1757210400000,5,172.32
0,24600,长江干流,60105400,寸滩,1757214000000,5,172.45
0,24800,长江干流,60105400,寸滩,1757217600000,5,172.52
0,24800,长江干流,60105400,寸滩,1757221200000,5,172.53
0,24800,长江干流,60105400,寸滩,1757224800000,5,172.54
0,24900,长江干流,60105400,寸滩,1757228400000,5,172.55
0,25000,长江干流,60105400,寸滩,1757232000000,5,172.6
0,24900,长江干流,60105400,寸滩,1757235600000,4,172.55
0,24900,长江干流,60105400,寸滩,1757239200000,5,172.57
0,25000,长江干流,60105400,寸滩,1757242800000,5,172.59
0,25000,长江干流,60105400,寸滩,1757246400000,5,172.6
0,25000,长江干流,60105400,寸滩,1757250000000,5,172.61
0,25100,长江干流,60105400,寸滩,1757253600000,5,172.64
0,25200,长江干流,60105400,寸滩,1757257200000,5,172.67
0,25200,长江干流,60105400,寸滩,1757260800000,5,172.68
0,25100,长江干流,60105400,寸滩,1757264400000,4,172.65
0,25000,长江干流,60105400,寸滩,1757268000000,4,172.6
0,24700,长江干流,60105400,寸滩,1757271600000,4,172.5
0,24500,长江干流,60105400,寸滩,1757275200000,4,172.41
0,24200,长江干流,60105400,寸滩,1757278800000,4,172.28
0,23900,长江干流,60105400,寸滩,1757282400000,4,172.16
0,23600,长江干流,60105400,寸滩,1757286000000,4,172.06
0,22100,长江干流,60105400,寸滩,1757289600000,4,171.98
0,21500,长江干流,60105400,寸滩,1757296800000,4,171.85
0,21200,长江干流,60105400,寸滩,1757300400000,4,171.78
0,21000,长江干流,60105400,寸滩,1757304000000,4,171.71
0,20600,长江干流,60105400,寸滩,1757307600000,4,171.56
0,20300,长江干流,60105400,寸滩,1757311200000,4,171.47
0,20100,长江干流,60105400,寸滩,1757314800000,4,171.39
0,19800,长江干流,60105400,寸滩,1757318400000,4,171.31
0,19600,长江干流,60105400,寸滩,1757322000000,4,171.25
0,19500,长江干流,60105400,寸滩,1757325600000,4,171.21
0,19300,长江干流,60105400,寸滩,1757329200000,4,171.14
0,19200,长江干流,60105400,寸滩,1757332800000,4,171.11
0,19200,长江干流,60105400,寸滩,1757336400000,4,171.1
0,19100,长江干流,60105400,寸滩,1757340000000,4,171.06
0,18900,长江干流,60105400,寸滩,1757343600000,4,171
0,18900,长江干流,60105400,寸滩,1757347200000,4,170.98
0,18800,长江干流,60105400,寸滩,1757350800000,4,170.94
0,18700,长江干流,60105400,寸滩,1757354400000,4,170.92
0,18700,长江干流,60105400,寸滩,1757358000000,4,170.9
0,18600,长江干流,60105400,寸滩,1757361600000,4,170.86
0,18400,长江干流,60105400,寸滩,1757365200000,4,170.81
0,18400,长江干流,60105400,寸滩,1757368800000,4,170.79
0,18300,长江干流,60105400,寸滩,1757372400000,4,170.76
0,18200,长江干流,60105400,寸滩,1757376000000,4,170.72
0,18000,长江干流,60105400,寸滩,1757383200000,4,170.64
0,17900,长江干流,60105400,寸滩,1757386800000,4,170.58
0,17700,长江干流,60105400,寸滩,1757390400000,4,170.52
0,17600,长江干流,60105400,寸滩,1757394000000,4,170.46
0,17400,长江干流,60105400,寸滩,1757397600000,4,170.38
0,17300,长江干流,60105400,寸滩,1757401200000,4,170.32
0,17100,长江干流,60105400,寸滩,1757404800000,4,170.26
0,17000,长江干流,60105400,寸滩,1757408400000,4,170.19
0,16800,长江干流,60105400,寸滩,1757412000000,4,170.13
0,16800,长江干流,60105400,寸滩,1757415600000,4,170.12
0,16700,长江干流,60105400,寸滩,1757419200000,4,170.09
0,16600,长江干流,60105400,寸滩,1757422800000,4,170.04
0,16500,长江干流,60105400,寸滩,1757426400000,4,170.02
0,16500,长江干流,60105400,寸滩,1757430000000,4,169.99
0,16400,长江干流,60105400,寸滩,1757433600000,4,169.96
0,16400,长江干流,60105400,寸滩,1757437200000,4,169.94
0,16300,长江干流,60105400,寸滩,1757440800000,4,169.9
0,16200,长江干流,60105400,寸滩,1757444400000,4,169.87
0,16200,长江干流,60105400,寸滩,1757448000000,4,169.84
0,16200,长江干流,60105400,寸滩,1757451600000,4,169.83
0,16100,长江干流,60105400,寸滩,1757455200000,4,169.82
0,16100,长江干流,60105400,寸滩,1757458800000,4,169.8
0,16100,长江干流,60105400,寸滩,1757462400000,6,169.8
0,16100,长江干流,60105400,寸滩,1757469600000,6,169.79
0,16100,长江干流,60105400,寸滩,1757473200000,4,169.78
0,16000,长江干流,60105400,寸滩,1757476800000,4,169.77
0,16000,长江干流,60105400,寸滩,1757480400000,4,169.75
0,16000,长江干流,60105400,寸滩,1757484000000,5,169.76
0,16100,长江干流,60105400,寸滩,1757487600000,5,169.78
0,16000,长江干流,60105400,寸滩,1757491200000,4,169.76
0,16000,长江干流,60105400,寸滩,1757494800000,6,169.76
0,16000,长江干流,60105400,寸滩,1757498400000,5,169.77
0,16000,长江干流,60105400,寸滩,1757502000000,4,169.76
0,16000,长江干流,60105400,寸滩,1757505600000,6,169.76
0,16000,长江干流,60105400,寸滩,1757509200000,4,169.74
0,16000,长江干流,60105400,寸滩,1757512800000,6,169.74
0,15900,长江干流,60105400,寸滩,1757516400000,4,169.71
0,15900,长江干流,60105400,寸滩,1757520000000,4,169.7
0,15800,长江干流,60105400,寸滩,1757523600000,4,169.67
0,15800,长江干流,60105400,寸滩,1757527200000,4,169.65
0,15800,长江干流,60105400,寸滩,1757530800000,4,169.64
0,15700,长江干流,60105400,寸滩,1757534400000,4,169.59
0,15600,长江干流,60105400,寸滩,1757538000000,4,169.54
0,15500,长江干流,60105400,寸滩,1757541600000,4,169.5
0,15400,长江干流,60105400,寸滩,1757545200000,4,169.44
0,15300,长江干流,60105400,寸滩,1757548800000,4,169.39
0,15500,长江干流,60105400,寸滩,1757556000000,4,169.26
0,15500,长江干流,60105400,寸滩,1757559600000,4,169.21
0,15300,长江干流,60105400,寸滩,1757563200000,4,169.12
0,15200,长江干流,60105400,寸滩,1757566800000,4,169.08
0,15100,长江干流,60105400,寸滩,1757570400000,4,169.05
0,15100,长江干流,60105400,寸滩,1757574000000,4,169.02
0,15100,长江干流,60105400,寸滩,1757577600000,6,169.02
0,15100,长江干流,60105400,寸滩,1757581200000,6,169.02
