oq,q,rvnm,stcd,stnm,tm,wptn,z
0,19100,长江干流,60112200,汉口,1756656000000,5,17.48
0,19100,长江干流,60112200,汉口,1756659600000,4,17.47
0,19100,长江干流,60112200,汉口,1756663200000,5,17.49
0,19200,长江干流,60112200,汉口,1756666800000,5,17.51
0,19200,长江干流,60112200,汉口,1756670400000,5,17.52
0,19300,长江干流,60112200,汉口,1756674000000,5,17.54
0,19300,长江干流,60112200,汉口,1756677600000,5,17.55
0,19300,长江干流,60112200,汉口,1756681200000,6,17.55
0,19300,长江干流,60112200,汉口,1756688400000,5,17.57
0,19400,长江干流,60112200,汉口,1756692000000,5,17.58
0,19400,长江干流,60112200,汉口,1756695600000,6,17.58
0,19400,长江干流,60112200,汉口,1756699200000,5,17.59
0,19400,长江干流,60112200,汉口,1756702800000,6,17.59
0,19400,长江干流,60112200,汉口,1756706400000,5,17.61
0,19500,长江干流,60112200,汉口,1756710000000,5,17.62
0,19500,长江干流,60112200,汉口,1756713600000,5,17.63
0,19500,长江干流,60112200,汉口,1756717200000,6,17.63
0,19500,长江干流,60112200,汉口,1756720800000,5,17.64
0,19500,长江干流,60112200,汉口,1756724400000,5,17.65
0,19500,长江干流,60112200,汉口,1756728000000,4,17.64
0,19600,长江干流,60112200,汉口,1756731600000,5,17.66
0,19600,长江干流,60112200,汉口,1756735200000,6,17.66
0,19600,长江干流,60112200,汉口,1756738800000,5,17.67
0,19600,长江干流,60112200,汉口,1756742400000,5,17.69
0,19600,长江干流,60112200,汉口,1756746000000,6,17.69
0,19700,长江干流,60112200,汉口,1756749600000,5,17.7
0,19700,长江干流,60112200,汉口,1756753200000,5,17.71
0,19700,长江干流,60112200,汉口,1756756800000,5,17.72
0,19700,长江干流,60112200,汉口,1756760400000,5,17.73
